"tick","total_believers","total_fact_checkers","total_susceptibles","influencer_believers","influencer_fact_checkers","influencer_susceptibles","scholar_believers","scholar_fact_checkers","scholar_susceptibles","normal_believers","normal_fact_checkers","normal_susceptibles","run_id"
0.5,3674,175,190,38,0,2,459,0,29,2949,0,159,23
1.5,3364,360,315,36,3,1,319,135,34,2781,47,280,23
2.5,3150,504,385,29,7,4,213,230,45,2680,92,336,23
3.5,3035,625,379,31,8,1,155,295,38,2621,147,340,23
4.5,2924,710,405,28,12,0,111,333,44,2557,190,361,23
5.5,2859,809,371,22,18,0,90,357,41,2519,259,330,23
6.5,2800,856,383,21,17,2,65,381,42,2486,283,339,23
7.5,2764,905,370,20,18,2,63,390,35,2453,322,333,23
8.5,2665,955,419,16,21,3,46,405,37,2375,354,379,23
9.5,2649,1012,378,13,24,3,36,410,42,2372,403,333,23
10.5,2603,1040,396,12,26,2,32,421,35,2331,418,359,23
11.5,2590,1070,379,12,25,3,28,425,35,2322,445,341,23
12.5,2543,1049,447,11,28,1,25,420,43,2279,426,403,23
13.5,2579,1079,381,8,25,7,16,438,34,2327,441,340,23
14.5,2594,1111,334,9,29,2,12,444,32,2345,463,300,23
15.5,2563,1103,373,10,29,1,9,434,45,2316,465,327,23
16.5,2556,1138,345,7,29,4,11,450,27,2310,484,314,23
17.5,2526,1131,382,8,31,1,12,443,33,2278,482,348,23
18.5,2516,1159,364,7,32,1,8,443,37,2273,509,326,23
19.5,2510,1182,347,7,31,2,7,443,38,2268,533,307,23
20.5,2454,1186,399,7,28,5,5,451,32,2214,532,362,23
21.5,2422,1199,418,6,32,2,5,450,33,2183,542,383,23
22.5,2423,1220,396,7,31,2,2,448,38,2186,566,356,23
23.5,2422,1235,382,4,31,5,1,454,33,2189,575,344,23
24.5,2423,1256,360,7,32,1,2,438,48,2186,611,311,23
25.5,2405,1273,361,7,31,2,3,446,39,2167,621,320,23
26.5,2383,1289,367,7,29,4,1,448,39,2147,637,324,23
27.5,2371,1300,368,8,28,4,1,450,37,2134,647,327,23
28.5,2359,1326,354,10,27,3,2,455,31,2119,669,320,23
29.5,2335,1335,369,8,28,4,3,439,46,2096,693,319,23
30.5,2299,1356,384,8,27,5,4,443,41,2059,711,338,23
31.5,2289,1337,413,10,27,3,3,438,47,2048,697,363,23
32.5,2299,1348,392,9,28,3,3,438,47,2059,707,342,23
33.5,2268,1357,414,9,29,2,4,446,38,2027,707,374,23
34.5,2300,1351,388,10,29,1,4,443,41,2058,704,346,23
35.5,2294,1354,391,10,27,3,5,442,41,2051,710,347,23
36.5,2280,1371,388,9,27,4,4,456,28,2039,713,356,23
37.5,2324,1349,366,8,28,4,4,444,40,2084,702,322,23
38.5,2307,1331,401,10,27,3,1,440,47,2068,689,351,23
39.5,2314,1326,399,10,28,2,2,444,42,2074,679,355,23
40.5,2318,1319,402,8,27,5,1,441,46,2081,676,351,23
41.5,2316,1349,374,6,29,5,1,445,42,2081,700,327,23
42.5,2322,1368,349,9,29,2,1,451,36,2084,713,311,23
43.5,2283,1347,409,8,29,3,2,444,42,2045,699,364,23
44.5,2277,1368,394,9,28,3,0,450,38,2040,715,353,23
45.5,2261,1336,442,11,27,2,0,433,55,2022,701,385,23
46.5,2316,1357,366,11,25,4,2,444,42,2075,713,320,23
47.5,2285,1343,411,8,27,5,2,439,47,2047,702,359,23
48.5,2303,1335,401,10,24,6,4,440,44,2061,696,351,23
49.5,2298,1364,377,10,23,7,5,445,38,2055,721,332,23
50.5,2311,1360,368,12,23,5,5,451,32,2066,711,331,23
51.5,2320,1336,383,11,27,2,3,435,50,2078,699,331,23
52.5,2300,1359,380,11,28,1,4,452,32,2057,704,347,23
53.5,2300,1338,401,12,28,0,4,437,47,2056,698,354,23
54.5,2300,1344,395,10,26,4,7,436,45,2055,707,346,23
55.5,2286,1358,395,10,27,3,9,445,34,2039,711,358,23
56.5,2301,1353,385,9,29,2,10,441,37,2054,708,346,23
57.5,2313,1347,379,11,29,0,7,449,32,2067,694,347,23
58.5,2274,1361,404,10,29,1,5,446,37,2031,711,366,23
59.5,2295,1358,386,10,28,2,6,448,34,2051,707,350,23
60.5,2294,1353,392,10,25,5,6,440,42,2050,713,345,23
61.5,2260,1373,406,14,22,4,3,432,53,2015,744,349,23
62.5,2246,1392,401,16,22,2,5,434,49,1997,761,350,23
63.5,2282,1395,362,17,23,0,7,447,34,2030,750,328,23
64.5,2300,1409,330,15,24,1,5,446,37,2052,764,292,23
65.5,2245,1421,373,15,24,1,6,448,34,1996,774,338,23
66.5,2226,1422,391,14,24,2,2,446,40,1982,777,349,23
67.5,2255,1421,363,11,26,3,5,443,40,2011,777,320,23
68.5,2280,1426,333,11,26,3,6,454,28,2035,771,302,23
69.5,2260,1385,394,10,25,5,2,443,43,2020,742,346,23
70.5,2269,1377,393,10,24,6,3,451,34,2028,727,353,23
71.5,2256,1385,398,11,24,5,2,443,43,2015,743,350,23
72.5,2227,1385,427,12,24,4,2,454,32,1985,732,391,23
73.5,2238,1385,416,12,24,4,3,447,38,1995,739,374,23
74.5,2283,1395,361,12,27,1,3,446,39,2040,747,321,23
75.5,2282,1386,371,12,27,1,1,456,31,2041,728,339,23
76.5,2275,1379,385,11,26,3,1,441,46,2035,737,336,23
77.5,2272,1386,381,12,25,3,1,453,34,2031,733,344,23
78.5,2290,1352,397,14,25,1,1,440,47,2047,712,349,23
79.5,2278,1363,398,14,25,1,3,447,38,2033,716,359,23
80.5,2278,1369,392,11,26,3,2,444,42,2037,724,347,23
81.5,2288,1362,389,12,26,2,3,439,46,2045,722,341,23
82.5,2302,1353,384,14,25,1,11,439,38,2049,714,345,23
83.5,2335,1334,370,13,25,2,16,430,42,2078,704,326,23
84.5,2335,1331,373,11,26,3,9,435,44,2087,695,326,23
85.5,2291,1346,402,13,26,1,7,453,28,2043,692,373,23
86.5,2290,1361,388,11,27,2,3,450,35,2048,709,351,23
87.5,2306,1373,360,13,25,2,4,451,33,2061,722,325,23
88.5,2282,1365,392,11,25,4,3,439,46,2040,726,342,23
89.5,2295,1371,373,11,26,3,3,447,38,2053,723,332,23
90.5,2306,1343,390,11,24,5,3,445,40,2064,699,345,23
91.5,2326,1352,361,13,25,2,2,458,28,2083,694,331,23
92.5,2324,1340,375,14,25,1,2,447,39,2080,693,335,23
93.5,2316,1312,411,15,23,2,1,438,49,2072,676,360,23
94.5,2309,1324,406,15,24,1,1,442,45,2065,683,360,23
95.5,2320,1341,378,14,25,1,3,452,33,2075,689,344,23
96.5,2343,1344,352,11,27,2,1,453,34,2103,689,316,23
97.5,2343,1363,333,10,26,4,1,456,31,2104,706,298,23
98.5,2339,1334,366,13,27,0,1,445,42,2097,687,324,23
99.5,2312,1332,395,11,27,2,1,432,55,2072,698,338,23
100.5,2303,1373,363,11,28,1,0,443,45,2064,727,317,23
101.5,2264,1377,398,11,29,0,2,441,45,2023,732,353,23
102.5,2269,1368,402,11,29,0,3,444,41,2027,720,361,23
103.5,2290,1355,394,9,26,5,6,448,34,2047,706,355,23
104.5,2306,1365,368,8,26,6,7,455,26,2063,709,336,23
105.5,2330,1353,356,11,27,2,3,457,28,2088,694,326,23
106.5,2303,1356,380,8,29,3,1,453,34,2066,699,343,23
107.5,2289,1357,393,8,29,3,2,447,39,2051,706,351,23
108.5,2330,1363,346,5,30,5,4,444,40,2093,714,301,23
109.5,2327,1361,351,9,30,1,4,447,37,2086,709,313,23
110.5,2309,1350,380,8,28,4,9,450,29,2064,697,347,23
111.5,2351,1337,351,8,27,5,12,442,34,2103,693,312,23
112.5,2285,1332,422,8,29,3,11,428,49,2038,700,370,23
113.5,2294,1346,399,9,30,1,11,437,40,2046,704,358,23
114.5,2316,1362,361,8,29,3,11,445,32,2069,713,326,23
115.5,2291,1370,378,9,29,2,13,441,34,2041,725,342,23
116.5,2294,1352,393,11,28,1,13,437,38,2042,712,354,23
117.5,2306,1350,383,11,27,2,11,445,32,2056,703,349,23
118.5,2342,1330,367,10,25,5,9,442,37,2095,688,325,23
119.5,2335,1327,377,11,25,4,8,435,45,2088,692,328,23
120.5,2311,1334,394,10,28,2,8,431,49,2065,700,343,23
121.5,2300,1360,379,11,26,3,7,442,39,2054,717,337,23
122.5,2310,1362,367,11,27,2,4,434,50,2067,726,315,23
123.5,2286,1367,386,11,28,1,3,439,46,2044,725,339,23
124.5,2290,1359,390,10,27,3,5,440,43,2047,717,344,23
125.5,2303,1355,381,13,25,2,3,449,36,2059,706,343,23
126.5,2301,1368,370,11,29,0,2,453,33,2060,711,337,23
127.5,2280,1358,401,8,30,2,2,442,44,2042,711,355,23
128.5,2289,1356,394,7,32,1,4,444,40,2050,705,353,23
129.5,2295,1361,383,7,31,2,4,449,35,2056,706,346,23
130.5,2298,1387,354,6,32,2,3,457,28,2061,723,324,23
131.5,2287,1377,375,7,32,1,4,442,42,2048,728,332,23
132.5,2292,1387,360,7,30,3,6,443,39,2051,739,318,23
133.5,2241,1393,405,6,33,1,8,434,46,1999,751,358,23
134.5,2241,1413,385,4,35,1,7,441,40,2002,762,344,23
135.5,2245,1409,385,5,33,2,5,439,44,2007,762,339,23
136.5,2264,1403,372,5,34,1,5,437,46,2026,757,325,23
137.5,2238,1407,394,5,31,4,10,440,38,1995,761,352,23
138.5,2252,1415,372,8,30,2,12,437,39,2004,773,331,23
139.5,2250,1426,363,8,32,0,17,445,26,1997,774,337,23
140.5,2250,1421,368,8,30,2,15,439,34,1999,777,332,23
141.5,2230,1408,401,8,30,2,11,432,45,1983,771,354,23
142.5,2243,1410,386,9,29,2,8,438,42,1998,768,342,23
143.5,2244,1418,377,7,27,6,7,439,42,2002,777,329,23
144.5,2246,1415,378,11,24,5,4,452,32,2003,764,341,23
145.5,2271,1384,384,14,25,1,5,445,38,2024,739,345,23
146.5,2267,1391,381,12,26,2,4,447,37,2023,743,342,23
147.5,2266,1372,401,11,25,4,4,441,43,2023,731,354,23
148.5,2268,1383,388,10,27,3,3,445,40,2027,736,345,23
149.5,2223,1379,437,11,28,1,1,449,38,1983,727,398,23
150.5,2275,1359,405,10,27,3,1,438,49,2036,719,353,23
151.5,2304,1370,365,10,28,2,1,448,39,2065,719,324,23
152.5,2298,1363,378,12,28,0,2,443,43,2056,717,335,23
153.5,2297,1385,357,11,26,3,2,447,39,2056,737,315,23
154.5,2293,1375,371,13,24,3,3,451,34,2049,725,334,23
155.5,2284,1380,375,14,22,4,4,451,33,2038,732,338,23
156.5,2290,1366,383,14,22,4,2,441,45,2046,728,334,23
157.5,2282,1385,372,17,21,2,2,454,32,2035,735,338,23
158.5,2291,1392,356,17,19,4,2,461,25,2044,737,327,23
159.5,2261,1371,407,14,22,4,2,453,33,2017,721,370,23
160.5,2267,1351,421,14,25,1,3,448,37,2022,703,383,23
161.5,2317,1368,354,13,25,2,1,459,28,2075,709,324,23
162.5,2307,1366,366,13,25,2,1,462,25,2065,704,339,23
163.5,2313,1372,354,13,26,1,2,454,32,2070,717,321,23
164.5,2295,1358,386,11,24,5,2,448,38,2054,711,343,23
165.5,2303,1369,367,12,27,1,2,445,41,2061,722,325,23
166.5,2291,1361,387,10,29,1,2,446,40,2051,711,346,23
167.5,2278,1359,402,9,30,1,2,447,39,2039,707,362,23
168,2286,1355,398,10,29,1,3,445,40,2045,706,357,23
