"tick","total_believers","total_fact_checkers","total_susceptibles","influencer_believers","influencer_fact_checkers","influencer_susceptibles","scholar_believers","scholar_fact_checkers","scholar_susceptibles","normal_believers","normal_fact_checkers","normal_susceptibles","run_id"
0.5,499,206,3334,8,0,32,34,0,454,260,0,2848,5
1.5,1830,267,1942,8,1,31,189,9,290,1436,51,1621,5
2.5,2479,423,1137,12,5,23,273,66,149,1997,146,965,5
3.5,2576,599,864,13,6,21,251,143,94,2115,244,749,5
4.5,2591,758,690,17,6,17,207,212,69,2170,334,604,5
5.5,2529,910,600,22,10,8,169,269,50,2141,425,542,5
6.5,2419,1011,609,18,16,6,131,295,62,2073,494,541,5
7.5,2348,1131,560,14,23,3,102,330,56,2035,572,501,5
8.5,2247,1201,591,10,29,1,81,336,71,1959,630,519,5
9.5,2222,1250,567,7,30,3,80,348,60,1938,666,504,5
10.5,2185,1309,545,6,33,1,66,366,56,1916,704,488,5
11.5,2110,1359,570,5,33,2,50,382,56,1858,738,512,5
12.5,2049,1388,602,4,32,4,41,378,69,1807,772,529,5
13.5,2010,1425,604,4,35,1,32,383,73,1777,801,530,5
14.5,1967,1490,582,1,37,2,35,392,61,1734,855,519,5
15.5,1940,1549,550,1,36,3,35,392,61,1707,915,486,5
16.5,1937,1545,557,1,36,3,32,391,65,1707,912,489,5
17.5,1879,1566,594,0,36,4,22,402,64,1660,922,526,5
18.5,1898,1572,569,1,36,3,22,412,54,1678,918,512,5
19.5,1896,1590,553,1,33,6,25,411,52,1673,940,495,5
20.5,1867,1579,593,3,29,8,25,395,68,1642,949,517,5
21.5,1869,1577,593,2,31,7,23,397,68,1647,943,518,5
22.5,1902,1598,539,4,33,3,27,401,60,1674,958,476,5
23.5,1831,1616,592,2,32,6,26,395,67,1606,983,519,5
24.5,1887,1628,524,2,32,6,24,410,54,1664,980,464,5
25.5,1840,1629,570,1,32,7,26,404,58,1616,987,505,5
26.5,1844,1618,577,0,34,6,19,416,53,1628,962,518,5
27.5,1801,1657,581,0,33,7,15,418,55,1589,1000,519,5
28.5,1813,1635,591,0,32,8,18,405,65,1598,992,518,5
29.5,1801,1642,596,0,33,7,23,408,57,1581,995,532,5
30.5,1815,1613,611,0,30,10,21,402,65,1597,975,536,5
31.5,1827,1617,595,1,30,9,24,403,61,1605,978,525,5
32.5,1816,1633,590,2,28,10,30,397,61,1587,1002,519,5
33.5,1821,1642,576,4,30,6,33,394,61,1587,1012,509,5
34.5,1820,1669,550,2,28,10,33,397,58,1588,1038,482,5
35.5,1842,1654,543,2,30,8,34,402,52,1609,1016,483,5
36.5,1797,1673,569,3,33,4,18,417,53,1579,1017,512,5
37.5,1819,1658,562,4,29,7,22,420,46,1596,1003,509,5
38.5,1806,1629,604,3,31,6,23,407,58,1583,985,540,5
39.5,1828,1613,598,3,32,5,31,391,66,1597,984,527,5
40.5,1785,1622,632,4,30,6,32,398,58,1552,988,568,5
41.5,1840,1595,604,3,29,8,34,385,69,1606,975,527,5
