"tick","total_believers","total_fact_checkers","total_susceptibles","influencer_believers","influencer_fact_checkers","influencer_susceptibles","scholar_believers","scholar_fact_checkers","scholar_susceptibles","normal_believers","normal_fact_checkers","normal_susceptibles","run_id"
0.5,547,199,3293,0,0,40,35,0,453,308,0,2800,9
1.5,1896,243,1900,0,0,40,208,12,268,1484,32,1592,9
2.5,2596,378,1065,25,0,15,259,73,156,2108,106,894,9
3.5,2685,559,795,25,6,9,240,149,99,2216,205,687,9
4.5,2651,723,665,15,14,11,211,212,65,2221,298,589,9
5.5,2557,860,622,16,16,8,172,252,64,2165,393,550,9
6.5,2487,964,588,13,21,6,134,285,69,2136,459,513,9
7.5,2452,1050,537,12,24,4,119,320,49,2117,507,484,9
8.5,2298,1146,595,7,26,7,91,341,56,1996,580,532,9
9.5,2253,1228,558,10,23,7,85,354,49,1954,652,502,9
10.5,2169,1266,604,10,23,7,70,362,56,1885,682,541,9
11.5,2136,1308,595,10,25,5,59,362,67,1863,722,523,9
12.5,2076,1359,604,11,27,2,53,370,65,1808,763,537,9
13.5,2061,1404,574,10,28,2,50,380,58,1797,797,514,9
14.5,1996,1431,612,7,32,1,43,375,70,1742,825,541,9
15.5,1990,1434,615,6,32,2,48,369,71,1732,834,542,9
16.5,1975,1444,620,5,29,6,54,372,62,1712,844,552,9
17.5,1985,1465,589,5,30,5,48,382,58,1728,854,526,9
18.5,1994,1504,541,6,31,3,51,387,50,1733,887,488,9
19.5,1942,1559,538,5,31,4,44,390,54,1689,939,480,9
20.5,1959,1563,517,5,31,4,43,393,52,1707,940,461,9
21.5,1952,1536,551,5,31,4,42,389,57,1701,917,490,9
22.5,1909,1528,602,5,28,7,47,385,56,1653,916,539,9
23.5,1912,1518,609,6,29,5,40,381,67,1662,909,537,9
24.5,1932,1525,582,8,31,1,41,382,65,1679,913,516,9
25.5,1903,1565,571,6,31,3,37,394,57,1656,941,511,9
26.5,1875,1566,598,5,33,2,34,392,62,1632,942,534,9
27.5,1894,1575,570,6,32,2,36,398,54,1648,946,514,9
28.5,1957,1565,517,7,28,5,53,393,42,1693,945,470,9
29.5,1944,1563,532,6,30,4,42,401,45,1692,933,483,9
30.5,1940,1548,551,4,29,7,39,403,46,1693,917,498,9
31.5,1932,1573,534,4,28,8,37,402,49,1687,944,477,9
32.5,1873,1590,576,4,28,8,26,400,62,1639,963,506,9
33.5,1857,1626,556,3,33,4,24,410,54,1626,984,498,9
