"tick","total_believers","total_fact_checkers","total_susceptibles","influencer_believers","influencer_fact_checkers","influencer_susceptibles","scholar_believers","scholar_fact_checkers","scholar_susceptibles","normal_believers","normal_fact_checkers","normal_susceptibles","run_id"
0.5,3629,188,222,36,0,4,459,0,29,2919,0,189,26
1.5,3300,400,339,36,2,2,307,147,34,2742,63,303,26
2.5,3102,522,415,32,3,5,224,226,38,2631,105,372,26
3.5,3020,619,400,31,4,5,160,288,40,2614,139,355,26
4.5,2954,701,384,32,7,1,116,332,40,2591,174,343,26
5.5,2897,759,383,29,10,1,96,356,36,2557,205,346,26
6.5,2827,826,386,28,10,2,74,377,37,2510,251,347,26
7.5,2745,885,409,29,11,0,47,394,47,2454,292,362,26
8.5,2695,937,407,25,15,0,41,407,40,2414,327,367,26
9.5,2637,986,416,19,19,2,36,415,37,2367,364,377,26
10.5,2608,1012,419,19,19,2,40,410,38,2334,395,379,26
11.5,2560,1009,470,19,18,3,32,402,54,2294,401,413,26
12.5,2546,1075,418,18,21,1,31,420,37,2282,446,380,26
13.5,2534,1100,405,15,21,4,24,418,46,2280,473,355,26
14.5,2545,1141,353,15,22,3,23,427,38,2292,504,312,26
15.5,2526,1159,354,13,24,3,18,429,41,2280,518,310,26
16.5,2522,1177,340,12,25,3,16,435,37,2279,529,300,26
17.5,2474,1200,365,11,25,4,14,441,33,2234,546,328,26
18.5,2481,1211,347,14,25,1,10,443,35,2242,555,311,26
19.5,2448,1215,376,12,25,3,9,445,34,2212,557,339,26
20.5,2400,1225,414,12,26,2,9,444,35,2164,567,377,26
21.5,2429,1241,369,12,28,0,8,439,41,2194,586,328,26
22.5,2370,1275,394,10,25,5,7,442,39,2138,620,350,26
23.5,2360,1280,399,9,26,5,8,438,42,2128,628,352,26
24.5,2365,1279,395,10,24,6,10,433,45,2130,634,344,26
25.5,2388,1280,371,13,26,1,7,438,43,2153,628,327,26
26.5,2386,1291,362,11,28,1,3,434,51,2157,641,310,26
27.5,2351,1306,382,10,28,2,5,444,39,2121,646,341,26
28.5,2359,1311,369,11,26,3,7,442,39,2126,655,327,26
29.5,2335,1324,380,12,22,6,8,442,38,2100,672,336,26
30.5,2341,1344,354,14,24,2,3,448,37,2109,684,315,26
31.5,2337,1343,359,13,26,1,3,442,43,2106,687,315,26
32.5,2316,1330,393,11,23,6,5,439,44,2085,680,343,26
33.5,2326,1326,387,10,24,6,5,437,46,2096,677,335,26
34.5,2302,1338,399,11,27,2,5,448,35,2071,675,362,26
35.5,2318,1335,386,9,28,3,6,439,43,2088,680,340,26
36.5,2301,1333,405,10,29,1,7,435,46,2069,681,358,26
37.5,2322,1331,386,8,30,2,6,440,42,2093,673,342,26
38.5,2317,1330,392,9,30,1,12,435,41,2081,677,350,26
39.5,2325,1349,365,9,27,4,19,428,41,2082,706,320,26
40.5,2298,1359,382,10,27,3,11,443,34,2062,701,345,26
41.5,2290,1356,393,12,25,3,10,438,40,2053,705,350,26
42.5,2293,1349,397,11,26,3,8,425,55,2059,710,339,26
43.5,2272,1361,406,12,27,1,6,429,53,2039,717,352,26
44.5,2292,1379,368,12,26,2,5,436,47,2060,729,319,26
45.5,2279,1366,394,11,26,3,8,441,39,2045,711,352,26
46.5,2308,1355,376,11,27,2,7,436,45,2075,704,329,26
47.5,2273,1356,410,13,26,1,7,451,30,2038,691,379,26
48.5,2303,1371,365,12,28,0,6,444,38,2070,711,327,26
49.5,2253,1392,394,8,29,3,7,446,35,2023,729,356,26
50.5,2278,1361,400,10,29,1,8,440,40,2045,704,359,26
51.5,2302,1378,359,10,28,2,2,457,29,2075,705,328,26
52.5,2272,1360,407,8,28,4,0,442,46,2049,702,357,26
53.5,2271,1381,387,7,26,7,0,440,48,2049,727,332,26
54.5,2251,1402,386,9,28,3,2,450,36,2025,736,347,26
55.5,2253,1434,352,7,29,4,4,453,31,2027,764,317,26
56.5,2239,1415,385,4,33,3,3,441,44,2017,753,338,26
57.5,2255,1420,364,4,31,5,5,449,34,2031,752,325,26
58.5,2265,1427,347,7,33,0,6,444,38,2037,762,309,26
59.5,2227,1418,394,4,34,2,6,436,46,2002,760,346,26
60.5,2215,1443,381,3,35,2,6,445,37,1991,775,342,26
61.5,2234,1456,349,3,36,1,7,439,42,2009,793,306,26
62.5,2222,1455,362,3,36,1,5,442,41,1999,789,320,26
63.5,2232,1446,361,3,33,4,4,449,35,2010,776,322,26
64.5,2213,1435,391,5,29,6,5,435,48,1988,783,337,26
65.5,2204,1450,385,8,29,3,7,437,44,1974,796,338,26
66.5,2199,1454,386,9,29,2,6,436,46,1969,801,338,26
67.5,2185,1454,400,8,29,3,8,436,44,1954,801,353,26
68.5,2214,1469,356,8,29,3,8,444,36,1983,808,317,26
69.5,2197,1464,378,10,29,1,7,440,41,1965,807,336,26
70.5,2219,1433,387,9,28,3,10,442,36,1985,775,348,26
71.5,2226,1430,383,9,28,3,9,442,37,1993,772,343,26
72.5,2199,1433,407,8,28,4,7,436,45,1969,781,358,26
73.5,2229,1425,385,6,27,7,9,435,44,1999,775,334,26
74.5,2207,1425,407,10,29,1,5,445,38,1977,763,368,26
75.5,2223,1431,385,10,28,2,3,452,33,1995,763,350,26
76.5,2212,1447,380,11,28,1,3,456,29,1983,775,350,26
77.5,2215,1445,379,9,28,3,6,444,38,1985,785,338,26
78.5,2255,1428,356,10,29,1,7,443,38,2023,768,317,26
79.5,2258,1425,356,8,28,4,7,450,31,2028,759,321,26
80.5,2263,1402,374,11,28,1,3,443,42,2034,743,331,26
81.5,2249,1423,367,10,28,2,2,447,39,2022,760,326,26
82.5,2223,1408,408,9,27,4,6,438,44,1993,755,360,26
83.5,2221,1426,392,10,23,7,5,451,32,1991,764,353,26
84.5,2244,1407,388,10,23,7,3,444,41,2016,752,340,26
85.5,2273,1401,365,11,25,4,3,443,42,2044,745,319,26
86.5,2277,1428,334,12,26,2,7,443,38,2043,771,294,26
87.5,2241,1420,378,13,26,1,10,440,38,2003,766,339,26
88.5,2225,1399,415,12,25,3,18,436,34,1980,750,378,26
89.5,2243,1406,390,12,26,2,19,433,36,1997,759,352,26
90.5,2248,1408,383,10,28,2,22,434,32,2001,758,349,26
91.5,2237,1394,408,10,27,3,18,431,39,1994,748,366,26
