"tick","total_believers","total_fact_checkers","total_susceptibles","influencer_believers","influencer_fact_checkers","influencer_susceptibles","scholar_believers","scholar_fact_checkers","scholar_susceptibles","normal_believers","normal_fact_checkers","normal_susceptibles","run_id"
126.5,1832,1635,572,3,36,1,14,412,62,1593,1006,509,1
127.5,1836,1655,548,4,35,1,14,417,57,1596,1022,490,1
128.5,1857,1646,536,4,34,2,15,407,66,1616,1024,468,1
129.5,1830,1653,556,2,32,6,15,410,63,1591,1030,487,1
130.5,1779,1652,608,3,32,5,15,412,61,1539,1027,542,1
131.5,1785,1671,583,4,32,4,13,415,60,1546,1043,519,1
132.5,1771,1716,552,4,30,6,10,429,49,1535,1076,497,1
133.5,1763,1717,559,6,31,3,11,415,62,1524,1090,494,1
134.5,1777,1685,577,3,32,5,21,414,53,1531,1058,519,1
135.5,1757,1682,600,3,31,6,23,415,50,1509,1055,544,1
136.5,1782,1678,579,2,27,11,24,413,51,1534,1057,517,1
137.5,1808,1634,597,6,27,7,26,400,62,1554,1026,528,1
138.5,1797,1643,599,6,30,4,20,404,64,1549,1028,531,1
139.5,1850,1640,549,7,30,3,30,402,56,1591,1027,490,1
140.5,1806,1648,585,7,32,1,29,400,59,1548,1035,525,1
141.5,1818,1664,557,6,31,3,32,403,53,1558,1049,501,1
142.5,1802,1653,584,4,30,6,26,391,71,1550,1051,507,1
143.5,1812,1647,580,4,32,4,29,406,53,1557,1028,523,1
144.5,1817,1634,588,5,32,3,35,409,44,1555,1012,541,1
145.5,1818,1636,585,3,35,2,31,412,45,1562,1008,538,1
146.5,1829,1624,586,3,35,2,24,407,57,1580,1001,527,1
147.5,1843,1661,535,2,33,5,26,416,46,1593,1031,484,1
148.5,1805,1665,569,3,32,5,21,414,53,1559,1038,511,1
149.5,1803,1629,607,4,32,4,28,402,58,1549,1014,545,1
150.5,1793,1599,647,3,33,4,30,403,55,1538,982,588,1
151.5,1833,1601,605,4,31,5,31,387,70,1576,1002,530,1
152.5,1853,1606,580,5,31,4,40,395,53,1586,999,523,1
153.5,1838,1602,599,5,33,2,40,393,55,1571,995,542,1
154.5,1850,1591,598,3,31,6,31,397,60,1594,982,532,1
155.5,1849,1587,603,5,31,4,34,398,56,1588,977,543,1
156.5,1837,1584,618,4,31,5,27,393,68,1584,979,545,1
157.5,1847,1609,583,3,29,8,33,389,66,1589,1010,509,1
158.5,1842,1626,571,3,28,9,25,406,57,1592,1011,505,1
159.5,1859,1627,553,5,30,5,23,409,56,1609,1007,492,1
160.5,1827,1617,595,7,30,3,25,410,53,1573,996,539,1
161.5,1829,1597,613,4,32,4,24,407,57,1579,977,552,1
162.5,1802,1607,630,3,30,7,23,399,66,1554,997,557,1
163.5,1806,1627,606,4,33,3,23,407,58,1557,1006,545,1
164.5,1821,1637,581,4,32,4,25,407,56,1570,1017,521,1
165.5,1828,1628,583,3,34,3,23,402,63,1580,1011,517,1
166.5,1832,1640,567,3,33,4,31,398,59,1576,1028,504,1
167.5,1841,1632,566,3,33,4,35,398,55,1581,1020,507,1
168,1847,1639,553,5,32,3,33,398,57,1587,1028,493,1
