"tick","total_believers","total_fact_checkers","total_susceptibles","influencer_believers","influencer_fact_checkers","influencer_susceptibles","scholar_believers","scholar_fact_checkers","scholar_susceptibles","normal_believers","normal_fact_checkers","normal_susceptibles","run_id"
0.5,3609,228,202,32,0,8,468,0,20,2934,0,174,27
1.5,3297,419,323,38,1,1,308,136,44,2776,54,278,27
2.5,3116,562,361,30,3,7,212,229,47,2699,102,307,27
3.5,2952,674,413,26,7,7,160,287,41,2591,152,365,27
4.5,2889,746,404,19,10,11,109,336,43,2586,172,350,27
5.5,2800,824,415,23,14,3,81,357,50,2521,225,362,27
6.5,2735,876,428,21,16,3,68,382,38,2471,250,387,27
7.5,2724,941,374,17,20,3,56,395,37,2476,298,334,27
8.5,2608,1002,429,17,21,2,43,407,38,2373,346,389,27
9.5,2608,1048,383,15,24,1,24,434,30,2394,362,352,27
10.5,2599,1054,386,9,27,4,19,424,45,2396,375,337,27
11.5,2545,1074,420,11,25,4,13,436,39,2346,385,377,27
12.5,2545,1097,397,14,26,0,9,446,33,2347,397,364,27
13.5,2538,1125,376,13,27,0,7,455,26,2343,415,350,27
14.5,2557,1122,360,11,28,1,6,455,27,2365,411,332,27
15.5,2511,1164,364,9,30,1,5,445,38,2322,461,325,27
16.5,2440,1198,401,10,29,1,4,457,27,2251,484,373,27
17.5,2456,1213,370,11,27,2,2,460,26,2268,498,342,27
18.5,2426,1208,405,12,25,3,1,431,56,2238,524,346,27
19.5,2423,1257,359,13,24,3,3,441,44,2232,564,312,27
20.5,2388,1266,385,14,25,1,5,432,51,2194,581,333,27
21.5,2363,1295,381,13,26,1,5,440,43,2170,601,337,27
22.5,2367,1312,360,14,26,0,12,440,36,2166,618,324,27
23.5,2412,1315,312,12,24,4,14,434,40,2211,629,268,27
24.5,2355,1309,375,12,27,1,15,431,42,2153,623,332,27
25.5,2323,1319,397,11,27,2,13,424,51,2124,640,344,27
26.5,2330,1309,400,8,26,6,11,435,42,2136,620,352,27
27.5,2281,1326,432,11,26,3,7,438,43,2088,634,386,27
28.5,2296,1343,400,12,26,2,7,439,42,2102,650,356,27
