"tick","total_believers","total_fact_checkers","total_susceptibles","influencer_believers","influencer_fact_checkers","influencer_susceptibles","scholar_believers","scholar_fact_checkers","scholar_susceptibles","normal_believers","normal_fact_checkers","normal_susceptibles","run_id"
0.5,2048,178,1813,21,0,19,242,0,246,1560,0,1548,14
1.5,2060,361,1618,13,8,19,207,76,205,1615,99,1394,14
2.5,2036,494,1509,8,13,19,172,135,181,1631,168,1309,14
3.5,1982,609,1448,8,14,18,135,185,168,1614,232,1262,14
4.5,1964,689,1386,7,15,18,114,205,169,1618,291,1199,14
5.5,1952,784,1303,4,18,18,84,243,161,1639,345,1124,14
6.5,1867,859,1313,6,19,15,64,268,156,1572,394,1142,14
7.5,1840,918,1281,5,19,16,52,275,161,1558,446,1104,14
8.5,1803,998,1238,9,16,15,42,291,155,1527,513,1068,14
9.5,1759,1075,1205,9,18,13,34,319,135,1491,560,1057,14
10.5,1697,1119,1223,10,22,8,24,319,145,1438,600,1070,14
11.5,1662,1180,1197,11,21,8,21,324,143,1405,657,1046,14
12.5,1629,1216,1194,8,23,9,16,339,133,1380,676,1052,14
13.5,1565,1274,1200,6,21,13,15,346,127,1319,729,1060,14
14.5,1491,1325,1223,3,23,14,13,342,133,1250,782,1076,14
15.5,1468,1371,1200,2,24,14,8,357,123,1233,812,1063,14
16.5,1448,1372,1219,1,25,14,5,361,122,1217,808,1083,14
17.5,1434,1386,1219,4,25,11,4,350,134,1201,833,1074,14
18.5,1402,1430,1207,2,27,11,3,354,131,1172,871,1065,14
19.5,1404,1434,1201,1,25,14,3,345,140,1175,886,1047,14
20.5,1388,1420,1231,2,26,12,2,346,140,1159,870,1079,14
21.5,1351,1454,1234,2,28,10,2,352,134,1122,896,1090,14
22.5,1322,1496,1221,3,30,7,3,354,131,1091,934,1083,14
23.5,1309,1505,1225,2,31,7,2,351,135,1080,945,1083,14
24.5,1305,1560,1174,4,29,7,3,363,122,1073,990,1045,14
25.5,1319,1561,1159,3,30,7,2,360,126,1089,993,1026,14
26.5,1306,1565,1168,3,29,8,3,350,135,1075,1008,1025,14
27.5,1273,1590,1176,3,30,7,6,349,133,1039,1033,1036,14
28.5,1232,1645,1162,3,28,9,7,351,130,997,1088,1023,14
29.5,1204,1690,1145,1,30,9,11,357,120,967,1125,1016,14
30.5,1206,1678,1155,1,29,10,11,349,128,969,1122,1017,14
31.5,1213,1690,1136,1,30,9,11,358,119,976,1124,1008,14
32.5,1171,1716,1152,1,31,8,5,353,130,940,1154,1014,14
33.5,1162,1735,1142,1,30,9,5,365,118,931,1162,1015,14
34.5,1133,1743,1163,1,28,11,3,369,116,904,1168,1036,14
35.5,1121,1765,1153,3,28,9,4,372,112,889,1187,1032,14
36.5,1108,1741,1190,4,28,8,3,360,125,876,1175,1057,14
37.5,1115,1712,1212,3,28,9,4,355,129,883,1151,1074,14
38.5,1123,1745,1171,4,28,8,5,355,128,889,1184,1035,14
39.5,1122,1722,1195,4,29,7,6,351,131,887,1164,1057,14
40.5,1119,1749,1171,2,28,10,4,351,133,888,1192,1028,14
41.5,1101,1734,1204,2,28,10,1,330,157,873,1198,1037,14
42.5,1115,1788,1136,3,28,9,2,356,130,885,1226,997,14
43.5,1099,1774,1166,3,27,10,4,357,127,867,1212,1029,14
44.5,1091,1749,1199,2,27,11,5,351,132,859,1193,1056,14
45.5,1083,1761,1195,2,28,10,5,351,132,851,1204,1053,14
46.5,1096,1758,1185,2,27,11,2,352,134,867,1201,1040,14
47.5,1075,1783,1181,2,27,11,1,357,130,847,1221,1040,14
48.5,1072,1802,1165,1,29,10,1,352,135,845,1243,1020,14
49.5,1070,1799,1170,1,29,10,2,358,128,842,1234,1032,14
50.5,1060,1806,1173,0,30,10,2,360,126,833,1238,1037,14
51.5,1058,1825,1156,0,28,12,4,368,116,829,1251,1028,14
52.5,1041,1816,1182,0,28,12,4,364,120,812,1246,1050,14
53.5,1066,1812,1161,0,29,11,5,354,129,836,1251,1021,14
54.5,1027,1824,1188,0,30,10,5,361,122,797,1255,1056,14
55.5,1053,1820,1166,0,29,11,5,348,135,823,1265,1020,14
56.5,1037,1841,1161,0,30,10,5,353,130,807,1280,1021,14
57.5,1013,1879,1147,0,29,11,4,366,118,784,1306,1018,14
58.5,992,1865,1182,1,29,10,3,369,116,763,1289,1056,14
59.5,997,1889,1153,2,28,10,3,370,115,767,1313,1028,14
60.5,1015,1876,1148,2,26,12,3,349,136,785,1323,1000,14
61.5,1008,1857,1174,4,27,9,1,347,140,778,1305,1025,14
62.5,986,1864,1189,4,26,10,1,357,130,756,1303,1049,14
63.5,984,1873,1182,4,27,9,3,342,143,752,1326,1030,14
64.5,969,1866,1204,4,27,9,4,341,143,736,1320,1052,14
65.5,955,1858,1226,2,28,10,3,337,148,725,1315,1068,14
66.5,941,1870,1228,2,29,9,4,348,136,710,1315,1083,14
67.5,955,1861,1223,2,26,12,2,343,143,726,1314,1068,14
68.5,982,1831,1226,2,25,13,1,342,145,754,1286,1068,14
69.5,1011,1845,1183,6,24,10,1,349,138,779,1294,1035,14
70.5,1011,1850,1178,8,22,10,3,364,121,775,1286,1047,14
71.5,1006,1854,1179,6,25,9,6,356,126,769,1295,1044,14
72.5,1007,1824,1208,5,26,9,8,351,129,769,1269,1070,14
73.5,998,1827,1214,4,27,9,8,352,128,761,1270,1077,14
74.5,1016,1816,1207,3,25,12,6,345,137,782,1268,1058,14
75.5,1042,1806,1191,3,25,12,9,340,139,805,1263,1040,14
76.5,1088,1803,1148,2,28,10,13,330,145,848,1267,993,14
77.5,1075,1772,1192,3,26,11,8,324,156,839,1244,1025,14
78.5,1092,1778,1169,3,27,10,5,339,144,859,1234,1015,14
79.5,1083,1801,1155,2,24,14,5,355,128,851,1244,1013,14
80.5,1105,1782,1152,1,23,16,3,347,138,876,1234,998,14
81.5,1072,1780,1187,2,21,17,2,348,138,843,1233,1032,14
82.5,1059,1821,1159,1,21,18,1,362,125,832,1260,1016,14
83.5,1052,1824,1163,1,21,18,1,369,118,825,1256,1027,14
84.5,1039,1805,1195,0,20,20,1,357,130,813,1250,1045,14
