"tick","total_believers","total_fact_checkers","total_susceptibles","influencer_believers","influencer_fact_checkers","influencer_susceptibles","scholar_believers","scholar_fact_checkers","scholar_susceptibles","normal_believers","normal_fact_checkers","normal_susceptibles","run_id"
0.5,3636,182,221,40,0,0,459,0,29,2916,0,192,28
1.5,3352,370,317,35,4,1,319,132,37,2777,52,279,28
2.5,3119,526,394,35,5,0,218,230,40,2645,109,354,28
3.5,3028,625,386,33,7,0,163,289,36,2611,147,350,28
4.5,2929,708,402,28,10,2,131,305,52,2549,211,348,28
5.5,2883,756,400,28,12,0,106,337,45,2528,225,355,28
6.5,2846,817,376,20,14,6,91,347,50,2514,274,320,28
7.5,2743,864,432,21,16,3,81,368,39,2420,298,390,28
8.5,2726,907,406,20,18,2,62,376,50,2423,331,354,28
9.5,2674,970,395,16,21,3,57,389,42,2380,378,350,28
10.5,2635,1010,394,16,23,1,41,402,45,2357,403,348,28
11.5,2594,1053,392,13,26,1,38,420,30,2322,425,361,28
12.5,2623,1084,332,13,25,2,23,435,30,2366,442,300,28
13.5,2555,1103,381,12,25,3,17,423,48,2305,473,330,28
14.5,2547,1131,361,13,23,4,17,423,48,2296,503,309,28
15.5,2523,1168,348,15,24,1,12,422,54,2275,540,293,28
16.5,2457,1211,371,15,24,1,15,431,42,2206,574,328,28
17.5,2428,1234,377,14,26,0,11,440,37,2182,586,340,28
18.5,2442,1231,366,14,25,1,9,439,40,2198,585,325,28
19.5,2418,1221,400,13,25,2,7,447,34,2177,567,364,28
20.5,2427,1228,384,13,26,1,3,437,48,2190,583,335,28
21.5,2439,1232,368,10,28,2,4,445,39,2204,577,327,28
22.5,2346,1239,454,10,29,1,3,451,34,2112,577,419,28
23.5,2426,1242,371,7,28,5,4,437,47,2194,595,319,28
24.5,2391,1273,375,10,29,1,7,445,36,2153,617,338,28
25.5,2370,1289,380,10,27,3,5,437,46,2134,643,331,28
26.5,2354,1335,350,10,28,2,6,455,27,2117,670,321,28
27.5,2366,1331,342,10,28,2,6,452,30,2129,669,310,28
28.5,2327,1331,381,6,28,6,4,448,36,2096,673,339,28
29.5,2291,1357,391,9,26,5,4,446,38,2057,703,348,28
30.5,2323,1347,369,9,26,5,5,432,51,2088,707,313,28
31.5,2284,1344,411,12,23,5,5,445,38,2046,694,368,28
32.5,2285,1352,402,15,22,3,6,445,37,2043,703,362,28
33.5,2304,1360,375,15,21,4,7,442,39,2061,715,332,28
34.5,2311,1358,370,16,20,4,6,448,34,2068,708,332,28
35.5,2309,1348,382,12,19,9,9,448,31,2067,699,342,28
36.5,2320,1345,374,18,19,3,11,433,44,2070,711,327,28
37.5,2320,1368,351,17,19,4,14,440,34,2068,727,313,28
38.5,2271,1354,414,18,21,1,16,437,35,2016,714,378,28
39.5,2336,1361,342,15,22,3,17,440,31,2083,717,308,28
40.5,2329,1341,369,16,22,2,19,435,34,2073,702,333,28
41.5,2317,1324,398,14,22,4,22,431,35,2060,689,359,28
42.5,2351,1308,380,14,25,1,19,425,44,2097,676,335,28
43.5,2283,1340,416,10,25,5,14,433,41,2038,700,370,28
44.5,2302,1331,406,13,26,1,18,440,30,2050,683,375,28
45.5,2331,1329,379,12,26,2,16,440,32,2082,681,345,28
46.5,2307,1323,409,12,26,2,10,441,37,2064,674,370,28
47.5,2324,1315,400,12,28,0,6,434,48,2085,671,352,28
48.5,2326,1342,371,10,28,2,9,445,34,2086,687,335,28
49.5,2337,1333,369,10,26,4,11,446,31,2095,679,334,28
50.5,2333,1317,389,9,28,3,7,441,40,2096,666,346,28
51.5,2298,1343,398,11,28,1,7,444,37,2059,689,360,28
52.5,2312,1317,410,11,27,2,8,446,34,2072,662,374,28
53.5,2356,1363,320,11,26,3,5,455,28,2119,700,289,28
54.5,2317,1355,367,13,25,2,3,446,39,2080,702,326,28
55.5,2307,1345,387,12,28,0,4,444,40,2070,691,347,28
56.5,2302,1358,379,7,30,3,2,456,30,2072,690,346,28
57.5,2311,1354,374,9,29,2,0,462,26,2081,681,346,28
58.5,2297,1336,406,9,30,1,2,445,41,2065,679,364,28
59.5,2311,1331,397,9,29,2,3,447,38,2078,673,357,28
60.5,2303,1351,385,8,30,2,3,450,35,2071,689,348,28
61.5,2291,1362,386,8,29,3,2,447,39,2060,704,344,28
62.5,2285,1346,408,11,27,2,4,448,36,2049,689,370,28
63.5,2305,1359,375,12,27,1,5,443,40,2067,707,334,28
64.5,2339,1380,320,11,26,3,4,450,34,2103,722,283,28
65.5,2311,1380,348,10,27,3,4,454,30,2076,717,315,28
66.5,2243,1366,430,9,28,3,4,442,42,2009,714,385,28
67.5,2284,1367,388,11,28,1,6,447,35,2046,710,352,28
68.5,2270,1362,407,10,28,2,4,443,41,2035,709,364,28
69.5,2251,1351,437,10,26,4,2,445,41,2018,698,392,28
70.5,2286,1378,375,11,26,3,4,449,35,2050,721,337,28
71.5,2287,1383,369,13,23,4,3,443,42,2050,735,323,28
72.5,2301,1392,346,13,24,3,3,442,43,2064,744,300,28
73.5,2247,1379,413,11,26,3,4,439,45,2011,732,365,28
74.5,2271,1366,402,11,24,5,3,439,46,2036,721,351,28
75.5,2270,1393,376,14,25,1,6,451,31,2029,735,344,28
76.5,2287,1367,385,10,25,5,3,445,40,2053,715,340,28
77.5,2289,1372,378,11,28,1,3,439,46,2054,723,331,28
78.5,2264,1369,406,10,29,1,4,431,53,2029,727,352,28
79.5,2277,1386,376,9,28,3,9,447,32,2038,729,341,28
80.5,2280,1387,372,10,27,3,7,442,39,2042,736,330,28
81.5,2242,1390,407,11,28,1,5,445,38,2005,735,368,28
82.5,2244,1415,380,8,30,2,5,450,33,2010,753,345,28
83.5,2218,1406,415,7,31,2,5,448,35,1985,745,378,28
84.5,2223,1412,404,7,33,0,5,434,49,1990,763,355,28
85.5,2249,1427,363,5,32,3,8,445,35,2015,768,325,28
86.5,2219,1421,399,7,32,1,7,448,33,1984,759,365,28
87.5,2203,1433,403,5,33,2,7,440,41,1970,778,360,28
88.5,2225,1423,391,5,32,3,9,431,48,1990,778,340,28
89.5,2221,1419,399,7,32,1,7,435,46,1986,770,352,28
90.5,2245,1428,366,6,32,2,7,444,37,2011,770,327,28
91.5,2226,1433,380,5,29,6,8,438,42,1992,784,332,28
92.5,2239,1432,368,8,30,2,6,437,45,2004,783,321,28
93.5,2203,1431,405,9,30,1,7,434,47,1966,785,357,28
94.5,2208,1438,393,8,31,1,3,446,39,1976,779,353,28
95.5,2229,1418,392,8,31,1,3,432,53,1997,773,338,28
96.5,2240,1434,365,7,32,1,5,439,44,2007,781,320,28
97.5,2259,1406,374,7,29,4,8,429,51,2023,766,319,28
98.5,2257,1403,379,5,28,7,10,428,50,2021,765,322,28
99.5,2300,1410,329,10,29,1,16,429,43,2053,770,285,28
100.5,2244,1404,391,8,29,3,15,430,43,2000,763,345,28
101.5,2231,1402,406,7,29,4,10,444,34,1993,747,368,28
102.5,2238,1409,392,9,27,4,10,444,34,1998,756,354,28
103.5,2268,1387,384,10,29,1,11,441,36,2026,735,347,28
104.5,2284,1355,400,8,31,1,10,436,42,2045,706,357,28
105.5,2296,1347,396,9,29,2,12,436,40,2054,700,354,28
106.5,2299,1344,396,9,29,2,13,435,40,2056,698,354,28
107.5,2285,1350,404,9,30,1,14,432,42,2041,706,361,28
108.5,2272,1368,399,6,31,3,18,423,47,2027,732,349,28
109.5,2281,1377,381,6,28,6,16,438,34,2038,729,341,28
110.5,2263,1357,419,8,29,3,10,426,52,2024,720,364,28
111.5,2293,1375,371,9,26,5,4,446,38,2059,721,328,28
112.5,2288,1371,380,11,24,5,2,446,40,2054,719,335,28
113.5,2267,1385,387,10,25,5,4,444,40,2032,734,342,28
114.5,2257,1369,413,11,24,5,8,442,38,2017,721,370,28
115.5,2300,1360,379,11,26,3,10,439,39,2058,713,337,28
116.5,2293,1349,397,11,24,5,13,437,38,2048,706,354,28
117.5,2307,1340,392,14,21,5,14,439,35,2058,698,352,28
118.5,2326,1323,390,16,21,3,11,439,38,2078,681,349,28
119.5,2361,1309,369,16,21,3,6,436,46,2118,670,320,28
120.5,2354,1305,380,17,18,5,6,442,40,2110,663,335,28
121.5,2330,1296,413,17,20,3,9,429,50,2083,665,360,28
122.5,2332,1319,388,20,19,1,12,442,34,2079,676,353,28
123.5,2359,1299,381,18,18,4,17,426,45,2103,673,332,28
124.5,2329,1311,399,15,19,6,20,431,37,2073,679,356,28
125.5,2308,1325,406,16,18,6,19,428,41,2052,697,359,28
126.5,2299,1332,408,15,20,5,17,426,45,2046,704,358,28
127.5,2304,1344,391,14,23,3,13,438,37,2056,701,351,28
128.5,2337,1356,346,13,26,1,10,441,37,2093,707,308,28
129.5,2291,1354,394,12,26,2,5,437,46,2053,709,346,28
130.5,2254,1348,437,10,26,4,6,440,42,2017,700,391,28
131.5,2288,1355,396,8,27,5,7,443,38,2052,703,353,28
132.5,2291,1331,417,10,24,6,4,437,47,2056,688,364,28
133.5,2311,1339,389,11,26,3,4,452,32,2075,679,354,28
134.5,2319,1335,385,12,26,2,4,441,43,2082,686,340,28
135.5,2308,1343,388,10,28,2,3,447,38,2074,686,348,28
136.5,2324,1342,373,10,29,1,2,445,41,2091,686,331,28
137.5,2285,1349,405,10,28,2,3,447,38,2051,692,365,28
138.5,2301,1369,369,9,28,3,3,458,27,2068,701,339,28
139.5,2307,1352,380,11,27,2,3,447,38,2072,696,340,28
140.5,2324,1380,335,9,29,2,2,453,33,2092,716,300,28
141.5,2291,1357,391,10,29,1,3,445,40,2057,701,350,28
142.5,2336,1352,351,7,26,7,3,443,42,2105,701,302,28
143.5,2314,1341,384,10,28,2,6,446,36,2077,685,346,28
144.5,2331,1325,383,8,26,6,3,435,50,2099,682,327,28
145.5,2327,1344,368,8,30,2,5,443,40,2093,689,326,28
146.5,2326,1357,356,8,29,3,8,442,38,2089,704,315,28
147.5,2291,1357,391,10,29,1,7,446,35,2053,700,355,28
148.5,2298,1347,394,8,30,2,6,449,33,2063,686,359,28
149.5,2291,1358,390,8,29,3,6,455,27,2056,692,360,28
150.5,2279,1376,384,7,30,3,6,453,29,2045,711,352,28
151.5,2280,1375,384,7,31,2,8,450,30,2044,712,352,28
152.5,2276,1371,392,9,29,2,7,448,33,2039,712,357,28
153.5,2251,1373,415,8,30,2,7,444,37,2015,717,376,28
154.5,2274,1370,395,7,31,2,8,436,44,2038,721,349,28
155.5,2283,1372,384,6,30,4,9,445,34,2047,715,346,28
156.5,2266,1366,407,8,30,2,6,437,45,2031,717,360,28
157.5,2280,1372,387,9,28,3,6,449,33,2044,713,351,28
158.5,2273,1380,386,9,28,3,4,443,41,2039,727,342,28
159.5,2311,1381,347,11,28,1,2,447,39,2077,724,307,28
160.5,2295,1389,355,9,28,3,3,453,32,2062,726,320,28
161.5,2283,1383,373,9,29,2,3,443,42,2050,729,329,28
162.5,2255,1391,393,10,28,2,5,443,40,2019,738,351,28
163.5,2223,1396,420,9,28,3,6,436,46,1987,750,371,28
164.5,2224,1399,416,9,28,3,3,438,47,1991,751,366,28
165.5,2217,1419,403,8,30,2,6,450,32,1982,757,369,28
166.5,2230,1405,404,8,32,0,4,444,40,1997,747,364,28
167.5,2231,1391,417,7,31,2,5,441,42,1998,737,373,28
168,2291,1370,378,9,29,2,6,434,48,2055,725,328,28
