"tick","total_believers","total_fact_checkers","total_susceptibles","influencer_believers","influencer_fact_checkers","influencer_susceptibles","scholar_believers","scholar_fact_checkers","scholar_susceptibles","normal_believers","normal_fact_checkers","normal_susceptibles","run_id"
0.5,3641,220,178,36,0,4,473,0,15,2949,0,159,24
1.5,3206,441,392,36,2,2,307,148,33,2680,71,357,24
2.5,3099,576,364,32,7,1,214,243,31,2670,106,332,24
3.5,3005,689,345,27,10,3,139,309,40,2656,150,302,24
4.5,2905,764,370,24,12,4,103,351,34,2595,181,332,24
5.5,2834,818,387,21,17,2,81,364,43,2549,217,342,24
6.5,2755,879,405,18,20,2,59,374,55,2495,265,348,24
7.5,2688,931,420,17,21,2,51,401,36,2437,289,382,24
8.5,2643,982,414,17,22,1,37,413,38,2406,327,375,24
9.5,2591,1028,420,13,24,3,35,415,38,2360,369,379,24
10.5,2648,1071,320,15,23,2,29,425,34,2421,403,284,24
11.5,2620,1077,342,12,25,3,20,430,38,2405,402,301,24
12.5,2594,1097,348,15,25,0,17,430,41,2379,422,307,24
13.5,2523,1112,404,12,26,2,16,430,42,2312,436,360,24
14.5,2504,1142,393,13,26,1,13,437,38,2295,459,354,24
15.5,2499,1158,382,10,27,3,13,434,41,2293,477,338,24
16.5,2473,1166,400,12,27,1,11,439,38,2267,480,361,24
17.5,2491,1196,352,11,28,1,9,441,38,2288,507,313,24
18.5,2454,1216,369,11,29,0,7,434,47,2253,533,322,24
19.5,2390,1238,411,10,29,1,5,441,42,2192,548,368,24
20.5,2405,1248,386,9,29,2,5,438,45,2208,561,339,24
21.5,2381,1247,411,10,26,4,7,432,49,2181,569,358,24
22.5,2433,1263,343,13,25,2,6,445,37,2231,573,304,24
23.5,2412,1286,341,14,26,0,3,444,41,2212,596,300,24
24.5,2335,1289,415,9,28,3,2,444,42,2141,597,370,24
25.5,2369,1303,367,10,28,2,3,448,37,2173,607,328,24
26.5,2361,1306,372,11,26,3,3,452,33,2164,608,336,24
27.5,2351,1276,412,12,26,2,5,438,45,2151,592,365,24
28.5,2406,1296,337,13,25,2,4,448,36,2206,603,299,24
29.5,2339,1296,404,12,25,3,4,450,34,2140,601,367,24
30.5,2390,1294,355,14,24,2,5,448,35,2188,602,318,24
31.5,2405,1288,346,12,25,3,7,444,37,2203,599,306,24
32.5,2373,1276,390,11,23,6,7,444,37,2172,589,347,24
