"tick","total_believers","total_fact_checkers","total_susceptibles","influencer_believers","influencer_fact_checkers","influencer_susceptibles","scholar_believers","scholar_fact_checkers","scholar_susceptibles","normal_believers","normal_fact_checkers","normal_susceptibles","run_id"
0.5,1904,202,1933,21,0,19,260,0,228,1422,0,1686,16
1.5,1958,371,1710,17,2,21,208,78,202,1532,89,1487,16
2.5,1961,543,1535,15,6,19,170,135,183,1575,200,1333,16
3.5,1905,717,1417,12,8,20,122,194,172,1570,313,1225,16
4.5,1818,853,1368,8,11,21,85,248,155,1524,392,1192,16
5.5,1769,960,1310,4,13,23,65,276,147,1499,469,1140,16
6.5,1729,1031,1279,6,11,23,45,297,146,1477,521,1110,16
7.5,1681,1111,1247,7,12,21,36,311,141,1437,586,1085,16
8.5,1610,1199,1230,9,14,17,24,326,138,1376,657,1075,16
9.5,1569,1268,1202,8,14,18,18,332,138,1342,720,1046,16
10.5,1526,1309,1204,7,16,17,13,333,142,1305,758,1045,16
11.5,1536,1324,1179,6,18,16,14,332,142,1315,772,1021,16
12.5,1494,1392,1153,8,18,14,16,339,133,1269,833,1006,16
13.5,1474,1412,1153,9,18,13,10,346,132,1254,846,1008,16
14.5,1436,1432,1171,13,18,9,9,356,123,1213,856,1039,16
15.5,1402,1456,1181,10,21,9,7,352,129,1184,881,1043,16
16.5,1360,1491,1188,9,22,9,9,359,120,1141,908,1059,16
17.5,1355,1488,1196,8,23,9,7,352,129,1139,911,1058,16
18.5,1327,1518,1194,5,24,11,4,354,130,1117,938,1053,16
19.5,1306,1559,1174,5,26,9,3,361,124,1097,970,1041,16
20.5,1266,1589,1184,3,28,9,1,359,128,1061,1000,1047,16
21.5,1255,1589,1195,4,29,7,1,358,129,1049,1000,1059,16
22.5,1232,1630,1177,3,30,7,1,356,131,1027,1042,1039,16
23.5,1204,1658,1177,2,30,8,1,373,114,1000,1053,1055,16
24.5,1193,1661,1185,2,28,10,1,367,120,989,1064,1055,16
25.5,1172,1668,1199,2,28,10,1,379,108,968,1059,1081,16
26.5,1131,1702,1206,4,28,8,1,376,111,925,1096,1087,16
27.5,1131,1740,1168,3,26,11,1,376,111,926,1136,1046,16
28.5,1125,1728,1186,4,26,10,1,362,125,919,1138,1051,16
29.5,1096,1756,1187,2,30,8,0,366,122,893,1158,1057,16
30.5,1087,1757,1195,1,32,7,0,355,133,885,1168,1055,16
31.5,1089,1747,1203,0,32,8,0,352,136,888,1161,1059,16
32.5,1089,1771,1179,0,31,9,0,358,130,888,1180,1040,16
33.5,1085,1725,1229,1,31,8,0,347,141,883,1145,1080,16
34.5,1061,1730,1248,3,30,7,0,359,129,857,1139,1112,16
35.5,1080,1736,1223,4,32,4,0,358,130,875,1144,1089,16
36.5,1070,1769,1200,4,30,6,0,357,131,865,1180,1063,16
37.5,1064,1766,1209,3,31,6,0,351,137,860,1182,1066,16
38.5,1045,1804,1190,2,31,7,0,359,129,842,1212,1054,16
39.5,1057,1810,1172,2,31,7,0,358,130,854,1219,1035,16
40.5,1038,1819,1182,2,27,11,0,351,137,835,1239,1034,16
41.5,1052,1850,1137,2,25,13,0,353,135,849,1270,989,16
42.5,1059,1822,1158,2,24,14,0,356,132,856,1240,1012,16
43.5,1061,1802,1176,3,23,14,1,355,132,856,1222,1030,16
44.5,1067,1834,1138,3,21,16,3,361,124,860,1250,998,16
45.5,1079,1820,1140,5,20,15,5,355,128,868,1243,997,16
46.5,1089,1807,1143,5,18,17,5,362,121,878,1225,1005,16
47.5,1062,1807,1170,3,19,18,5,363,120,853,1223,1032,16
48.5,1041,1794,1204,2,19,19,9,357,122,829,1216,1063,16
49.5,1029,1798,1212,1,20,19,7,354,127,820,1222,1066,16
50.5,1014,1861,1164,5,19,16,6,356,126,802,1284,1022,16
51.5,1019,1854,1166,6,18,16,3,358,127,809,1276,1023,16
52.5,1016,1859,1164,3,21,16,2,352,134,810,1284,1014,16
53.5,996,1853,1190,5,20,15,2,350,136,788,1281,1039,16
54.5,981,1917,1141,4,21,15,2,357,129,774,1337,997,16
55.5,983,1873,1183,3,22,15,0,356,132,779,1293,1036,16
56.5,972,1874,1193,2,23,15,1,359,128,768,1290,1050,16
57.5,976,1870,1193,2,21,17,0,377,111,773,1270,1065,16
58.5,988,1887,1164,2,17,21,0,372,116,785,1296,1027,16
59.5,995,1905,1139,2,17,21,0,372,116,792,1314,1002,16
60.5,1016,1858,1165,2,18,20,0,364,124,813,1274,1021,16
61.5,978,1845,1216,3,17,20,0,355,133,774,1271,1063,16
62.5,962,1851,1226,2,18,20,0,348,140,759,1283,1066,16
63.5,953,1871,1215,1,21,18,1,361,126,750,1287,1071,16
64.5,957,1878,1204,2,21,17,0,376,112,754,1279,1075,16
65.5,983,1863,1193,1,20,19,0,372,116,781,1269,1058,16
66.5,966,1882,1191,2,17,21,0,381,107,763,1282,1063,16
67.5,954,1873,1212,2,17,21,1,362,125,750,1292,1066,16
68.5,965,1840,1234,1,16,23,2,354,132,761,1268,1079,16
69.5,956,1832,1251,3,16,21,1,347,140,751,1267,1090,16
70.5,988,1820,1231,5,17,18,1,355,132,781,1246,1081,16
71.5,1001,1815,1223,5,16,19,2,358,128,793,1239,1076,16
72.5,1002,1817,1220,4,18,18,2,358,128,795,1239,1074,16
73.5,1000,1822,1217,5,19,16,2,355,131,792,1246,1070,16
74.5,977,1859,1203,3,21,16,3,361,124,770,1275,1063,16
75.5,972,1861,1206,4,22,14,4,353,131,763,1284,1061,16
76.5,991,1866,1182,3,24,13,5,361,122,782,1279,1047,16
77.5,991,1899,1149,4,26,10,4,378,106,782,1293,1033,16
78.5,998,1903,1138,4,25,11,2,367,119,791,1309,1008,16
79.5,1014,1893,1132,4,26,10,2,367,119,807,1298,1003,16
80.5,998,1876,1165,4,26,10,1,364,123,792,1284,1032,16
81.5,1016,1883,1140,5,27,8,0,355,133,810,1299,999,16
82.5,1018,1910,1111,5,25,10,0,363,125,812,1320,976,16
83.5,984,1888,1167,3,28,9,0,347,141,780,1311,1017,16
84.5,999,1869,1171,4,30,6,0,355,133,794,1282,1032,16
85.5,1019,1848,1172,3,33,4,1,357,130,814,1256,1038,16
86.5,999,1871,1169,3,33,4,2,354,132,793,1282,1033,16
87.5,999,1833,1207,2,32,6,2,352,134,794,1247,1067,16
88.5,1011,1822,1206,2,33,5,1,358,129,807,1229,1072,16
89.5,1019,1843,1177,1,35,4,1,361,126,816,1245,1047,16
90.5,1025,1864,1150,1,35,4,1,367,120,822,1260,1026,16
91.5,1017,1844,1178,1,35,4,0,359,129,815,1248,1045,16
92.5,1035,1856,1148,1,33,6,1,355,132,832,1266,1010,16
93.5,1023,1859,1157,2,31,7,0,360,128,820,1266,1022,16
94.5,1002,1864,1173,1,33,6,0,351,137,800,1278,1030,16
95.5,1003,1840,1196,1,28,11,0,344,144,801,1266,1041,16
96.5,998,1877,1164,1,30,9,0,345,143,796,1300,1012,16
97.5,991,1862,1186,0,31,9,0,343,145,790,1286,1032,16
98.5,990,1862,1187,0,32,8,0,350,138,789,1278,1041,16
99.5,981,1850,1208,0,31,9,1,345,142,779,1272,1057,16
100.5,994,1884,1161,0,30,10,1,348,139,792,1304,1012,16
101.5,991,1895,1153,0,29,11,1,353,134,789,1311,1008,16
102.5,979,1862,1198,0,31,9,2,353,133,776,1276,1056,16
103.5,1009,1844,1186,1,31,8,6,342,140,801,1269,1038,16
104.5,1008,1871,1160,3,32,5,3,351,134,801,1286,1021,16
105.5,999,1858,1182,2,31,7,1,349,138,795,1276,1037,16
106.5,997,1865,1177,2,32,6,2,355,131,792,1276,1040,16
107.5,999,1876,1164,1,33,6,3,351,134,794,1290,1024,16
108.5,992,1893,1154,1,34,5,3,347,138,787,1310,1011,16
109.5,978,1891,1170,0,32,8,3,340,145,774,1317,1017,16
110.5,979,1880,1180,0,34,6,1,341,146,777,1303,1028,16
111.5,969,1872,1198,1,29,10,0,358,130,767,1283,1058,16
112.5,984,1875,1180,1,30,9,0,356,132,782,1287,1039,16
113.5,992,1876,1171,1,30,9,1,358,129,789,1286,1033,16
114.5,982,1886,1171,1,30,9,1,357,130,779,1297,1032,16
115.5,972,1879,1188,1,31,8,0,350,138,770,1296,1042,16
116.5,948,1915,1176,2,31,7,0,360,128,745,1322,1041,16
117.5,975,1893,1171,2,30,8,0,356,132,772,1305,1031,16
118.5,965,1882,1192,2,29,9,2,352,134,760,1299,1049,16
119.5,964,1928,1147,2,26,12,1,355,132,760,1345,1003,16
120.5,984,1922,1133,3,25,12,1,361,126,779,1334,995,16
121.5,974,1915,1150,4,25,11,1,364,123,768,1324,1016,16
122.5,969,1894,1176,3,24,13,0,369,119,765,1299,1044,16
123.5,968,1892,1179,3,25,12,0,366,122,764,1299,1045,16
124.5,969,1883,1187,3,25,12,0,365,123,765,1291,1052,16
125.5,983,1885,1171,3,22,15,0,370,118,779,1291,1038,16
126.5,969,1874,1196,3,21,16,0,360,128,765,1291,1052,16
127.5,974,1890,1175,2,22,16,0,363,125,771,1303,1034,16
128.5,974,1883,1182,1,23,16,0,369,119,772,1289,1047,16
129.5,972,1890,1177,3,23,14,0,371,117,768,1294,1046,16
130.5,967,1895,1177,2,23,15,0,383,105,764,1287,1057,16
131.5,976,1877,1186,2,24,14,1,376,111,772,1275,1061,16
132.5,983,1879,1177,2,25,13,1,373,114,779,1279,1050,16
133.5,961,1863,1215,2,24,14,1,367,120,757,1270,1081,16
134.5,967,1862,1210,2,23,15,1,359,128,763,1278,1067,16
135.5,968,1899,1172,1,23,16,1,357,130,765,1317,1026,16
136.5,970,1892,1177,0,23,17,1,352,135,768,1315,1025,16
137.5,957,1902,1180,0,22,18,1,357,130,755,1321,1032,16
138.5,959,1915,1165,0,20,20,1,363,124,757,1330,1021,16
139.5,977,1911,1151,0,21,19,1,377,110,775,1311,1022,16
140.5,985,1878,1176,0,21,19,2,370,116,782,1285,1041,16
141.5,988,1884,1167,0,20,20,2,375,111,785,1287,1036,16
142.5,994,1865,1180,1,24,15,0,373,115,792,1266,1050,16
143.5,985,1905,1149,2,26,12,0,387,101,782,1290,1036,16
144.5,991,1920,1128,1,28,11,0,378,110,789,1312,1007,16
145.5,1002,1906,1131,2,27,11,0,375,113,799,1302,1007,16
146.5,1001,1871,1167,2,28,10,0,365,123,798,1276,1034,16
147.5,1013,1864,1162,4,24,12,0,354,134,808,1284,1016,16
148.5,1031,1850,1158,6,24,10,0,353,135,824,1271,1013,16
149.5,1030,1841,1168,4,26,10,0,351,137,825,1262,1021,16
150.5,1008,1835,1196,4,24,12,0,360,128,803,1249,1056,16
151.5,996,1832,1211,5,22,13,0,359,129,790,1249,1069,16
152.5,998,1868,1173,7,24,9,0,369,119,790,1273,1045,16
