"tick","total_believers","total_fact_checkers","total_susceptibles","influencer_believers","influencer_fact_checkers","influencer_susceptibles","scholar_believers","scholar_fact_checkers","scholar_susceptibles","normal_believers","normal_fact_checkers","normal_susceptibles","run_id"
0.5,568,204,3267,7,0,33,49,0,439,313,0,2795,4
1.5,2059,260,1720,11,2,27,214,15,259,1635,39,1434,4
2.5,2629,390,1020,23,2,15,266,84,138,2141,100,867,4
3.5,2697,534,808,29,3,8,234,146,108,2235,181,692,4
4.5,2688,703,648,30,6,4,207,216,65,2252,277,579,4
5.5,2574,830,635,24,11,5,166,263,59,2185,352,571,4
6.5,2526,923,590,17,16,7,139,296,53,2171,407,530,4
7.5,2414,1022,603,13,22,5,115,331,42,2087,465,556,4
8.5,2363,1117,559,11,23,6,80,354,54,2073,536,499,4
9.5,2246,1151,642,8,24,8,73,358,57,1966,565,577,4
10.5,2213,1207,619,10,24,6,54,364,70,1950,615,543,4
11.5,2196,1258,585,12,24,4,52,374,62,1933,656,519,4
12.5,2162,1311,566,8,27,5,44,361,83,1911,719,478,4
13.5,2123,1353,563,5,29,6,43,355,90,1876,765,467,4
14.5,2089,1378,572,6,29,5,62,359,67,1822,786,500,4
15.5,2042,1422,575,5,31,4,61,368,59,1777,819,512,4
16.5,2012,1451,576,5,34,1,51,375,62,1757,838,513,4
17.5,1976,1495,568,5,32,3,51,372,65,1721,887,500,4
18.5,1916,1532,591,5,31,4,40,381,67,1672,916,520,4
19.5,1867,1539,633,3,32,5,42,382,64,1623,921,564,4
20.5,1857,1565,617,6,30,4,48,390,50,1604,941,563,4
21.5,1903,1571,565,6,28,6,40,389,59,1658,950,500,4
22.5,1893,1591,555,8,28,4,48,384,56,1638,975,495,4
23.5,1837,1596,606,8,28,4,42,387,59,1588,977,543,4
24.5,1843,1602,594,8,28,4,40,390,58,1596,980,532,4
25.5,1838,1599,602,5,31,4,37,379,72,1597,985,526,4
26.5,1855,1619,565,5,33,2,37,388,63,1614,994,500,4
27.5,1823,1627,589,3,33,4,31,385,72,1590,1005,513,4
28.5,1819,1635,585,3,31,6,32,391,65,1585,1009,514,4
29.5,1812,1608,619,2,31,7,26,378,84,1585,995,528,4
30.5,1820,1618,601,3,30,7,31,396,61,1587,988,533,4
31.5,1826,1631,582,4,31,5,34,401,53,1589,995,524,4
32.5,1821,1619,599,5,31,4,27,384,77,1590,1000,518,4
33.5,1828,1589,622,6,33,1,24,392,72,1599,960,549,4
34.5,1805,1611,623,5,32,3,24,400,64,1577,975,556,4
35.5,1803,1587,649,3,32,5,28,393,67,1573,958,577,4
36.5,1839,1579,621,5,32,3,30,387,71,1605,956,547,4
37.5,1861,1577,601,4,31,5,31,386,71,1627,956,525,4
38.5,1884,1605,550,6,30,4,34,398,56,1645,973,490,4
39.5,1852,1584,603,6,30,4,28,398,62,1619,952,537,4
40.5,1824,1606,609,9,29,2,30,396,62,1586,977,545,4
41.5,1838,1606,595,8,30,2,25,398,65,1606,974,528,4
42.5,1877,1619,543,7,30,3,29,403,56,1642,982,484,4
43.5,1862,1607,570,6,31,3,20,401,67,1637,971,500,4
44.5,1840,1610,589,5,30,5,23,406,59,1613,970,525,4
45.5,1832,1624,583,6,28,6,25,407,56,1602,985,521,4
46.5,1821,1602,616,6,27,7,32,402,54,1584,969,555,4
47.5,1810,1637,592,7,28,5,27,397,64,1577,1008,523,4
48.5,1847,1619,573,7,29,4,33,397,58,1608,989,511,4
49.5,1859,1614,566,8,29,3,33,397,58,1619,984,505,4
50.5,1875,1626,538,6,31,3,29,410,49,1641,981,486,4
51.5,1857,1612,570,5,30,5,26,403,59,1627,975,506,4
52.5,1837,1602,600,4,32,4,21,407,60,1613,959,536,4
53.5,1854,1597,588,1,32,7,22,402,64,1632,959,517,4
54.5,1843,1592,604,3,29,8,25,406,57,1616,953,539,4
55.5,1831,1610,598,2,29,9,27,409,52,1603,968,537,4
56.5,1859,1594,586,5,28,7,31,405,52,1624,957,527,4
57.5,1866,1594,579,2,30,8,29,394,65,1636,966,506,4
58.5,1836,1613,590,5,27,8,30,385,73,1602,997,509,4
59.5,1840,1606,593,7,24,9,34,388,66,1600,990,518,4
60.5,1834,1574,631,7,25,8,39,378,71,1589,967,552,4
61.5,1851,1570,618,8,25,7,44,381,63,1600,960,548,4
62.5,1857,1564,618,9,22,9,47,372,69,1602,966,540,4
63.5,1859,1584,596,8,27,5,41,384,63,1611,969,528,4
64.5,1835,1571,633,7,28,5,46,383,59,1583,956,569,4
65.5,1893,1548,598,6,26,8,49,379,60,1639,939,530,4
66.5,1901,1558,580,9,24,7,45,377,66,1648,953,507,4
67.5,1918,1597,524,11,23,6,38,387,63,1670,983,455,4
68.5,1913,1580,546,10,23,7,39,379,70,1665,974,469,4
69.5,1925,1592,522,8,24,8,40,381,67,1678,983,447,4
70.5,1915,1601,523,10,25,5,45,391,52,1661,981,466,4
71.5,1880,1574,585,9,26,5,42,383,63,1630,961,517,4
72.5,1865,1563,611,6,28,6,46,384,58,1614,947,547,4
73.5,1900,1559,580,4,30,6,50,379,59,1647,946,515,4
74.5,1858,1575,606,2,32,6,47,383,58,1610,956,542,4
