"tick","total_believers","total_fact_checkers","total_susceptibles","influencer_believers","influencer_fact_checkers","influencer_susceptibles","scholar_believers","scholar_fact_checkers","scholar_susceptibles","normal_believers","normal_fact_checkers","normal_susceptibles","run_id"
0.5,3643,225,171,40,0,0,460,0,28,2965,0,143,21
1.5,3136,476,427,32,6,2,294,169,25,2632,76,400,21
2.5,3043,586,410,29,7,4,207,240,41,2629,114,365,21
3.5,2968,699,372,27,9,4,152,286,50,2611,179,318,21
4.5,2885,782,372,25,10,5,120,327,41,2562,220,326,21
5.5,2814,842,383,23,13,4,104,343,41,2509,261,338,21
6.5,2772,902,365,23,16,1,86,369,33,2485,292,331,21
7.5,2720,963,356,22,17,1,64,383,41,2456,338,314,21
8.5,2676,1017,346,19,17,4,50,398,40,2429,377,302,21
9.5,2623,1048,368,20,17,3,31,421,36,2394,385,329,21
10.5,2577,1064,398,20,19,1,28,418,42,2351,402,355,21
11.5,2517,1088,434,19,19,2,22,418,48,2298,426,384,21
12.5,2519,1154,366,17,20,3,16,430,42,2308,479,321,21
13.5,2479,1169,391,16,21,3,19,430,39,2266,493,349,21
14.5,2469,1193,377,16,23,1,15,437,36,2260,508,340,21
15.5,2438,1222,379,16,21,3,11,436,41,2233,540,335,21
16.5,2409,1259,371,18,20,2,5,447,36,2208,567,333,21
17.5,2351,1256,432,17,21,2,5,452,31,2151,558,399,21
18.5,2403,1259,377,14,22,4,6,444,38,2205,568,335,21
19.5,2382,1267,390,17,23,0,8,438,42,2179,581,348,21
20.5,2418,1283,338,15,22,3,6,440,42,2219,596,293,21
21.5,2340,1310,389,15,20,5,3,447,38,2144,618,346,21
22.5,2290,1340,409,12,22,6,5,443,40,2095,650,363,21
23.5,2283,1341,415,9,27,4,12,433,43,2084,656,368,21
24.5,2313,1357,369,9,26,5,18,444,26,2108,662,338,21
25.5,2310,1355,374,9,29,2,14,439,35,2109,662,337,21
26.5,2293,1387,359,7,32,1,14,445,29,2094,685,329,21
27.5,2245,1373,421,7,29,4,17,421,50,2043,698,367,21
28.5,2256,1387,396,7,31,2,18,428,42,2053,703,352,21
29.5,2228,1372,439,7,32,1,12,430,46,2031,685,392,21
30.5,2253,1364,422,5,33,2,8,451,29,2062,655,391,21
31.5,2308,1377,354,3,33,4,5,458,25,2122,661,325,21
32.5,2259,1376,404,4,34,2,5,443,40,2072,674,362,21
33.5,2260,1378,401,1,34,5,4,436,48,2077,683,348,21
34.5,2258,1410,371,4,32,4,2,438,48,2074,715,319,21
35.5,2206,1409,424,6,29,5,4,434,50,2018,721,369,21
36.5,2224,1396,419,7,27,6,3,429,56,2036,715,357,21
37.5,2235,1439,365,8,29,3,5,451,32,2044,734,330,21
38.5,2180,1445,414,6,31,3,9,446,33,1987,743,378,21
39.5,2200,1421,418,6,31,3,9,441,38,2007,724,377,21
40.5,2200,1464,375,6,32,2,5,450,33,2011,757,340,21
41.5,2180,1461,398,6,34,0,4,444,40,1992,758,358,21
42.5,2172,1445,422,6,32,2,3,441,44,1985,747,376,21
43.5,2188,1441,410,3,33,4,2,431,55,2005,752,351,21
44.5,2215,1474,350,5,33,2,5,450,33,2027,766,315,21
45.5,2193,1461,385,5,32,3,5,440,43,2005,764,339,21
46.5,2187,1455,397,5,30,5,4,440,44,2000,760,348,21
47.5,2191,1446,402,7,29,4,4,437,47,2002,755,351,21
48.5,2208,1455,376,7,28,5,4,425,59,2019,777,312,21
49.5,2173,1447,419,10,26,4,4,439,45,1981,757,370,21
50.5,2215,1449,375,9,29,2,4,440,44,2024,755,329,21
51.5,2218,1428,393,10,30,0,5,434,49,2025,739,344,21
52.5,2223,1443,373,6,30,4,3,446,39,2036,742,330,21
53.5,2213,1456,370,8,29,3,3,444,41,2024,758,326,21
54.5,2215,1494,330,9,29,2,3,460,25,2025,780,303,21
55.5,2195,1465,379,10,29,1,2,437,49,2005,774,329,21
56.5,2166,1449,424,10,27,3,2,444,42,1976,753,379,21
57.5,2198,1451,390,9,26,5,3,436,49,2008,764,336,21
58.5,2208,1428,403,11,28,1,6,433,49,2013,742,353,21
59.5,2191,1434,414,10,30,0,6,439,43,1997,740,371,21
60.5,2199,1457,383,8,32,0,8,446,34,2005,754,349,21
61.5,2187,1440,412,5,33,2,5,439,44,1999,743,366,21
62.5,2189,1452,398,5,34,1,3,441,44,2003,752,353,21
63.5,2218,1449,372,5,29,6,2,452,34,2033,743,332,21
64.5,2220,1423,396,5,32,3,1,440,47,2036,726,346,21
65.5,2215,1456,368,8,30,2,0,457,31,2029,744,335,21
66.5,2194,1457,388,9,29,2,3,454,31,2004,749,355,21
67.5,2206,1437,396,8,28,4,3,443,42,2017,741,350,21
68.5,2224,1439,376,8,30,2,3,452,33,2035,732,341,21
69.5,2232,1436,371,7,31,2,3,444,41,2044,736,328,21
70.5,2241,1424,374,7,31,2,2,438,48,2054,730,324,21
71.5,2277,1445,317,9,29,2,4,445,39,2086,746,276,21
72.5,2240,1429,370,9,28,3,3,449,36,2050,727,331,21
73.5,2213,1406,420,10,29,1,6,443,39,2019,709,380,21
74.5,2228,1414,397,7,27,6,5,444,39,2038,718,352,21
75.5,2253,1422,364,9,29,2,5,443,40,2061,725,322,21
76.5,2224,1412,403,7,30,3,10,436,42,2029,721,358,21
77.5,2227,1439,373,5,31,4,10,433,45,2034,750,324,21
78.5,2175,1462,402,6,32,2,9,427,52,1982,778,348,21
79.5,2158,1462,419,7,33,0,6,439,43,1967,765,376,21
80.5,2180,1446,413,7,29,4,3,452,33,1992,740,376,21
81.5,2196,1450,393,9,28,3,5,442,41,2004,755,349,21
82.5,2212,1462,365,10,28,2,4,444,40,2020,765,323,21
83.5,2175,1451,413,11,28,1,2,447,39,1984,751,373,21
84.5,2210,1464,365,12,28,0,3,435,50,2017,776,315,21
85.5,2177,1480,382,9,28,3,2,444,42,1988,783,337,21
86.5,2180,1482,377,11,23,6,0,452,36,1991,782,335,21
87.5,2188,1461,390,12,26,2,0,448,40,1998,762,348,21
88.5,2186,1454,399,13,26,1,0,446,42,1995,757,356,21
89.5,2193,1470,376,10,28,2,2,446,40,2003,771,334,21
90.5,2205,1441,393,10,26,4,4,440,44,2013,750,345,21
91.5,2210,1444,385,9,27,4,4,431,53,2019,761,328,21
92.5,2185,1463,391,8,27,5,5,443,40,1994,768,346,21
93.5,2168,1461,410,6,31,3,4,444,40,1980,761,367,21
94.5,2188,1479,372,8,30,2,2,449,37,2000,775,333,21
95.5,2219,1485,335,8,28,4,2,447,39,2031,785,292,21
96.5,2159,1488,392,9,26,5,3,440,45,1969,797,342,21
97.5,2184,1504,351,10,27,3,4,447,37,1992,805,311,21
98.5,2144,1520,375,11,27,2,3,454,31,1952,814,342,21
99.5,2138,1504,397,11,27,2,3,454,31,1946,798,364,21
100.5,2159,1494,386,11,28,1,5,442,41,1965,799,344,21
101.5,2164,1483,392,11,28,1,3,447,38,1972,783,353,21
102.5,2161,1485,393,12,28,0,2,452,34,1969,780,359,21
103.5,2185,1456,398,11,26,3,2,441,45,1994,764,350,21
104.5,2214,1469,356,12,24,4,2,456,30,2022,764,322,21
105.5,2194,1464,381,8,25,7,1,446,41,2007,768,333,21
106.5,2201,1447,391,12,26,2,0,443,45,2011,753,344,21
107.5,2184,1450,405,10,26,4,2,451,35,1994,748,366,21
108.5,2209,1450,380,10,24,6,3,437,48,2018,764,326,21
109.5,2188,1445,406,10,25,5,2,442,44,1998,753,357,21
110.5,2180,1441,418,11,24,5,4,445,39,1987,747,374,21
111.5,2210,1428,401,10,24,6,6,433,49,2016,746,346,21
112.5,2224,1431,384,11,23,6,13,437,38,2022,746,340,21
113.5,2240,1429,370,11,26,3,16,432,40,2035,746,327,21
114.5,2225,1436,378,11,23,6,18,430,40,2018,758,332,21
115.5,2202,1451,386,11,27,2,13,428,47,2000,771,337,21
116.5,2209,1458,372,10,24,6,8,447,33,2013,762,333,21
117.5,2174,1457,408,11,24,5,8,449,31,1977,759,372,21
118.5,2213,1466,360,14,23,3,6,445,37,2015,773,320,21
119.5,2224,1465,350,12,25,3,3,438,47,2031,777,300,21
120.5,2191,1451,397,13,26,1,3,429,56,1997,771,340,21
121.5,2184,1453,402,13,24,3,4,453,31,1989,751,368,21
122.5,2192,1466,381,12,25,3,4,450,34,1998,766,344,21
123.5,2209,1472,358,12,25,3,5,452,31,2014,770,324,21
124.5,2223,1463,353,11,27,2,3,451,34,2031,760,317,21
125.5,2186,1487,366,8,28,4,4,453,31,1996,781,331,21
126.5,2184,1479,376,6,28,6,4,453,31,1996,773,339,21
127.5,2174,1453,412,8,29,3,2,446,40,1986,753,369,21
128.5,2180,1459,400,9,28,3,3,444,41,1990,762,356,21
129.5,2211,1443,385,9,27,4,6,442,40,2018,749,341,21
130.5,2196,1440,403,8,27,5,9,440,39,2001,748,359,21
131.5,2172,1479,388,7,30,3,6,443,39,1981,781,346,21
132.5,2152,1492,395,8,30,2,5,442,41,1961,795,352,21
133.5,2145,1526,368,7,30,3,6,453,29,1954,818,336,21
134.5,2159,1505,375,6,29,5,5,436,47,1970,815,323,21
135.5,2162,1491,386,8,30,2,4,443,41,1972,793,343,21
136.5,2172,1474,393,10,30,0,4,439,45,1980,780,348,21
137.5,2186,1462,391,10,29,1,3,453,32,1995,755,358,21
138.5,2206,1466,367,8,28,4,2,439,47,2018,774,316,21
139.5,2164,1457,418,8,27,5,2,440,46,1976,765,367,21
140.5,2173,1499,367,10,26,4,7,455,26,1978,793,337,21
141.5,2162,1464,413,11,26,3,8,442,38,1965,771,372,21
142.5,2195,1461,383,9,29,2,14,433,41,1994,774,340,21
143.5,2162,1457,420,7,28,5,16,435,37,1961,769,378,21
144.5,2189,1456,394,9,27,4,21,438,29,1981,766,361,21
145.5,2193,1454,392,8,30,2,16,438,34,1991,761,356,21
146.5,2197,1419,423,7,32,1,11,433,44,2001,729,378,21
147.5,2225,1421,393,6,31,3,11,422,55,2030,743,335,21
148.5,2193,1434,412,5,32,3,13,426,49,1997,751,360,21
149.5,2258,1428,353,6,30,4,11,435,42,2063,738,307,21
150.5,2221,1433,385,6,31,3,11,443,34,2026,734,348,21
151.5,2216,1457,366,5,31,4,9,445,34,2024,756,328,21
152.5,2207,1470,362,4,34,2,7,445,36,2018,766,324,21
153.5,2222,1459,358,4,32,4,11,437,40,2029,765,314,21
154.5,2181,1484,374,5,35,0,5,447,36,1993,777,338,21
155.5,2162,1472,405,4,34,2,3,443,42,1977,770,361,21
156.5,2168,1469,402,4,32,4,2,442,44,1984,770,354,21
157.5,2179,1457,403,6,31,3,3,443,42,1992,758,358,21
158.5,2203,1461,375,5,31,4,3,446,39,2017,759,332,21
159.5,2201,1480,358,7,32,1,2,458,28,2014,765,329,21
160.5,2194,1459,386,8,31,1,4,455,29,2004,748,356,21
161.5,2192,1462,385,7,31,2,2,448,38,2005,758,345,21
162.5,2203,1447,389,6,32,2,4,451,33,2015,739,354,21
163.5,2201,1459,379,6,33,1,2,445,41,2015,756,337,21
164.5,2161,1466,412,6,31,3,3,447,38,1974,763,371,21
165.5,2160,1454,425,6,31,3,3,437,48,1973,761,374,21
166.5,2132,1516,391,6,30,4,2,459,27,1946,802,360,21
167.5,2139,1530,370,7,31,2,2,447,39,1952,827,329,21
168,2141,1543,355,8,31,1,1,455,32,1954,832,322,21
