"tick","total_believers","total_fact_checkers","total_susceptibles","influencer_believers","influencer_fact_checkers","influencer_susceptibles","scholar_believers","scholar_fact_checkers","scholar_susceptibles","normal_believers","normal_fact_checkers","normal_susceptibles","run_id"
0.5,2107,177,1755,30,0,10,245,0,243,1606,0,1502,13
1.5,2159,330,1550,26,5,9,216,73,199,1691,75,1342,13
2.5,2096,516,1427,23,8,9,185,139,164,1662,192,1254,13
3.5,2038,630,1371,19,11,10,139,188,161,1654,254,1200,13
4.5,1970,723,1346,17,14,9,112,221,155,1615,311,1182,13
5.5,1872,852,1315,15,16,9,81,247,160,1550,412,1146,13
6.5,1809,938,1292,12,20,8,62,271,155,1509,470,1129,13
7.5,1799,1011,1229,11,19,10,54,292,142,1508,523,1077,13
8.5,1706,1078,1255,8,22,10,43,298,147,1429,581,1098,13
9.5,1703,1123,1213,6,24,10,43,302,143,1428,620,1060,13
10.5,1679,1159,1201,6,25,9,33,311,144,1414,646,1048,13
11.5,1627,1211,1201,5,25,10,25,327,136,1371,682,1055,13
12.5,1627,1238,1174,8,26,6,20,338,130,1373,697,1038,13
13.5,1569,1274,1196,10,23,7,20,338,130,1313,736,1059,13
14.5,1541,1340,1158,9,24,7,15,350,123,1291,789,1028,13
15.5,1528,1323,1188,7,25,8,16,339,133,1279,782,1047,13
16.5,1498,1365,1176,6,26,8,10,352,126,1256,810,1042,13
17.5,1481,1420,1138,4,27,9,10,363,115,1241,853,1014,13
18.5,1455,1425,1159,5,28,7,7,358,123,1217,862,1029,13
19.5,1455,1440,1144,5,28,7,5,361,122,1219,874,1015,13
20.5,1415,1478,1146,3,31,6,2,357,129,1184,913,1011,13
21.5,1363,1500,1176,3,30,7,4,359,125,1130,934,1044,13
22.5,1338,1537,1164,1,31,8,3,360,125,1108,969,1031,13
23.5,1340,1532,1167,2,30,8,3,344,141,1109,981,1018,13
24.5,1325,1589,1125,2,29,9,3,361,124,1094,1022,992,13
25.5,1303,1632,1104,1,29,10,2,367,119,1074,1059,975,13
26.5,1260,1652,1127,5,30,5,3,365,120,1026,1080,1002,13
27.5,1194,1672,1173,3,31,6,2,356,130,963,1108,1037,13
28.5,1184,1704,1151,2,30,8,0,356,132,956,1141,1011,13
29.5,1164,1733,1142,1,31,8,0,368,120,937,1157,1014,13
30.5,1176,1764,1099,0,31,9,0,370,118,950,1186,972,13
31.5,1159,1772,1108,0,28,12,0,381,107,933,1186,989,13
32.5,1149,1797,1093,1,26,13,0,392,96,922,1202,984,13
33.5,1159,1783,1097,2,28,10,0,381,107,931,1197,980,13
34.5,1140,1784,1115,2,23,15,0,386,102,912,1198,998,13
35.5,1144,1786,1109,2,25,13,0,381,107,916,1203,989,13
36.5,1114,1780,1145,1,25,14,0,378,110,887,1200,1021,13
37.5,1093,1767,1179,1,22,17,0,378,110,866,1190,1052,13
38.5,1088,1772,1179,3,22,15,0,375,113,859,1198,1051,13
39.5,1066,1772,1201,1,24,15,0,367,121,839,1204,1065,13
40.5,1067,1780,1192,1,23,16,0,363,125,840,1217,1051,13
41.5,1066,1764,1209,1,21,18,0,355,133,839,1211,1058,13
42.5,1059,1784,1196,1,21,18,1,363,124,831,1223,1054,13
43.5,1027,1792,1220,1,22,17,2,352,134,798,1241,1069,13
44.5,1016,1785,1238,1,22,17,6,345,137,783,1241,1084,13
45.5,1037,1770,1232,1,22,17,11,335,142,799,1236,1073,13
