"tick","total_believers","total_fact_checkers","total_susceptibles","influencer_believers","influencer_fact_checkers","influencer_susceptibles","scholar_believers","scholar_fact_checkers","scholar_susceptibles","normal_believers","normal_fact_checkers","normal_susceptibles","run_id"
0.5,485,219,3335,12,0,28,36,0,452,253,0,2855,8
1.5,1794,282,1963,12,0,28,220,13,255,1378,50,1680,8
2.5,2469,409,1161,20,2,18,234,85,169,2031,103,974,8
3.5,2605,580,854,18,8,14,226,155,107,2177,198,733,8
4.5,2643,720,676,20,12,8,198,221,69,2241,268,599,8
5.5,2548,862,629,20,13,7,157,275,56,2187,355,566,8
6.5,2448,974,617,18,16,6,118,307,63,2128,432,548,8
7.5,2405,1050,584,15,19,6,98,324,66,2108,488,512,8
8.5,2294,1129,616,14,23,3,84,342,62,2012,545,551,8
9.5,2233,1206,600,14,23,3,83,349,56,1952,615,541,8
10.5,2089,1284,666,13,23,4,70,368,50,1822,674,612,8
11.5,2111,1340,588,12,23,5,60,371,57,1855,727,526,8
12.5,2057,1383,599,13,25,2,43,385,60,1817,754,537,8
13.5,2039,1428,572,9,27,4,31,391,66,1815,791,502,8
14.5,2015,1463,561,6,27,7,24,404,60,1801,813,494,8
15.5,1986,1479,574,5,29,6,30,403,55,1767,828,513,8
16.5,1953,1498,588,4,30,6,26,396,66,1739,853,516,8
17.5,1959,1532,548,4,30,6,20,407,61,1751,876,481,8
18.5,1902,1555,582,6,30,4,21,408,59,1691,898,519,8
19.5,1891,1562,586,6,30,4,19,406,63,1682,907,519,8
20.5,1873,1564,602,4,31,5,15,415,58,1670,899,539,8
21.5,1874,1591,574,4,31,5,11,412,65,1675,929,504,8
22.5,1821,1559,659,3,31,6,14,405,69,1620,904,584,8
23.5,1866,1566,607,4,29,7,22,399,67,1656,919,533,8
24.5,1855,1586,598,5,29,6,19,414,55,1647,924,537,8
25.5,1841,1622,576,5,30,5,16,410,62,1636,963,509,8
26.5,1866,1603,570,6,28,6,22,415,51,1654,941,513,8
27.5,1902,1625,512,6,31,3,20,419,49,1692,956,460,8
28.5,1874,1621,544,7,31,2,16,418,54,1667,953,488,8
29.5,1851,1623,565,6,31,3,16,406,66,1645,967,496,8
30.5,1809,1627,603,2,37,1,17,414,57,1606,957,545,8
31.5,1830,1644,565,2,37,1,24,413,51,1620,975,513,8
32.5,1810,1638,591,2,35,3,31,407,50,1593,977,538,8
33.5,1843,1617,579,2,34,4,34,399,55,1623,965,520,8
34.5,1859,1632,548,5,34,1,28,400,60,1642,979,487,8
35.5,1832,1634,573,4,32,4,34,384,70,1610,999,499,8
36.5,1824,1632,583,4,33,3,36,379,73,1600,1001,507,8
37.5,1809,1644,586,2,34,4,54,381,53,1569,1010,529,8
38.5,1811,1660,568,2,35,3,53,385,50,1572,1021,515,8
39.5,1827,1662,550,1,32,7,50,384,54,1592,1027,489,8
40.5,1834,1652,553,3,31,6,48,382,58,1599,1020,489,8
41.5,1806,1642,591,2,32,6,40,383,65,1580,1008,520,8
42.5,1782,1654,603,2,31,7,32,383,73,1564,1021,523,8
43.5,1793,1691,555,2,30,8,32,394,62,1575,1048,485,8
44.5,1750,1662,627,5,27,8,30,386,72,1531,1030,547,8
45.5,1758,1662,619,5,29,6,37,388,63,1532,1026,550,8
46.5,1789,1648,602,5,29,6,35,396,57,1565,1004,539,8
47.5,1782,1638,619,7,28,5,40,391,57,1551,1000,557,8
48.5,1813,1607,619,6,28,6,45,392,51,1578,968,562,8
49.5,1835,1573,631,4,28,8,50,378,60,1597,948,563,8
50.5,1883,1592,564,4,30,6,46,377,65,1649,966,493,8
51.5,1869,1604,566,6,29,5,50,385,53,1629,971,508,8
52.5,1867,1571,601,6,31,3,50,384,54,1627,937,544,8
53.5,1883,1577,579,7,30,3,42,389,57,1650,939,519,8
54.5,1883,1595,561,10,29,1,39,383,66,1650,964,494,8
55.5,1854,1619,566,7,29,4,41,395,52,1622,976,510,8
56.5,1830,1643,566,8,27,5,33,398,57,1605,999,504,8
57.5,1803,1651,585,8,29,3,24,407,57,1587,996,525,8
58.5,1815,1646,578,5,29,6,25,410,53,1601,988,519,8
59.5,1834,1666,539,5,32,3,31,411,46,1614,1004,490,8
60.5,1815,1664,560,5,32,3,28,408,52,1598,1005,505,8
61.5,1793,1659,587,4,33,3,25,405,58,1580,1002,526,8
62.5,1769,1664,606,4,32,4,25,409,54,1556,1004,548,8
63.5,1819,1656,564,3,35,2,23,409,56,1609,993,506,8
64.5,1802,1652,585,2,36,2,27,406,55,1589,991,528,8
65.5,1820,1647,572,1,34,5,30,396,62,1605,998,505,8
66.5,1780,1654,605,1,35,4,30,397,61,1565,1003,540,8
