"tick","total_believers","total_fact_checkers","total_susceptibles","influencer_believers","influencer_fact_checkers","influencer_susceptibles","scholar_believers","scholar_fact_checkers","scholar_susceptibles","normal_believers","normal_fact_checkers","normal_susceptibles","run_id"
0.5,494,223,3322,0,0,40,36,0,452,278,0,2830,2
1.5,1870,285,1884,5,0,35,200,12,276,1485,50,1573,2
2.5,2480,428,1131,10,1,29,261,74,153,2029,130,949,2
3.5,2631,603,805,19,6,15,218,160,110,2214,214,680,2
4.5,2650,759,630,17,9,14,189,220,79,2264,307,537,2
5.5,2452,943,644,17,12,11,146,270,72,2109,438,561,2
6.5,2388,1048,603,12,18,10,122,294,72,2074,513,521,2
7.5,2306,1159,574,10,23,7,91,335,62,2025,578,505,2
8.5,2198,1198,643,5,26,9,74,348,66,1939,601,568,2
9.5,2170,1311,558,6,27,7,64,357,67,1920,704,484,2
10.5,2116,1360,563,6,26,8,52,362,74,1878,749,481,2
11.5,2034,1425,580,7,29,4,57,377,54,1790,796,522,2
12.5,2007,1420,612,5,29,6,45,366,77,1777,802,529,2
13.5,1965,1449,625,5,30,5,42,371,75,1738,825,545,2
14.5,1958,1501,580,6,30,4,42,375,71,1730,873,505,2
15.5,1944,1543,552,4,32,4,44,384,60,1716,904,488,2
16.5,1934,1564,541,4,32,4,48,380,60,1702,929,477,2
17.5,1875,1549,615,4,31,5,50,372,66,1641,923,544,2
18.5,1908,1550,581,6,31,3,48,378,62,1674,918,516,2
19.5,1856,1573,610,5,31,4,38,376,74,1633,943,532,2
20.5,1802,1592,645,5,32,3,36,382,70,1581,955,572,2
21.5,1859,1598,582,5,32,3,36,393,59,1638,950,520,2
22.5,1848,1578,613,4,30,6,35,378,75,1629,947,532,2
23.5,1846,1602,591,4,30,6,33,385,70,1629,964,515,2
24.5,1852,1633,554,5,30,5,32,391,65,1635,989,484,2
25.5,1834,1630,575,6,31,3,29,397,62,1619,979,510,2
26.5,1830,1643,566,5,31,4,28,404,56,1617,985,506,2
27.5,1819,1630,590,6,29,5,27,400,61,1606,978,524,2
28.5,1836,1612,591,4,30,6,27,393,68,1625,966,517,2
29.5,1844,1640,555,6,30,4,26,411,51,1632,976,500,2
