id,name,x,y,color
2,006,16,-14,5
6,015,12,8,3
10,031,1,-42,5
14,039,-5,-21,5
18,045,12,12,3
22,049,11,4,7
26,058,-18,1,2
30,067,16,-1,7
34,075,4,-1,7
38,089,11,6,3
42,094,12,8,3
46,102,12,7,3
50,112,13,7,3
54,117,11,6,3
58,127,-10,3,2
62,140,10,5,3
66,146,-1,7,1
70,151,8,5,7
74,157,10,1,7
78,169,-15,10,1
82,174,13,8,3
86,185,14,3,3
90,194,11,10,3
94,205,14,10,3
98,218,-8,18,1
102,A004,9,-2,7
106,A010,3,-7,0
110,A015,0,-19,5
114,A026,12,4,3
118,A031,12,5,3
122,A046,-2,24,6
126,A051,-17,-1,2
130,A063,-5,-17,5
134,A076,-27,-2,2
138,A087,16,1,3
142,A093,8,5,7
146,A105,12,7,3
150,A113,-16,-2,2
154,A118,11,5,3
158,A124,-11,-10,2
162,A129,13,9,3
166,A148,17,-13,5
170,A204,-1,-6,7
174,A217,17,-19,5
178,A230,3,5,7
182,A238,12,4,3
186,A250,12,8,3
190,A256,12,16,3
194,A265,12,6,3
198,A272,13,5,3
202,A277,-1,-8,7
206,A282,11,5,3
210,A294,15,-11,0
214,A300,12,7,3
218,A305,12,9,3
222,A314,13,10,3
226,A321,11,18,3
230,A327,12,6,3
234,A335,12,8,3
238,Ex004,12,9,3
242,Ex047,14,-13,0
246,OUT015,15,-11,0
250,OUT022,5,12,6
254,OUT033,15,-13,0
258,OUT052,12,-13,5
262,OUT066,3,8,6
266,OUT075,9,7,3
270,OUT082,11,6,3
274,OUT099,6,2,7
278,OUT108,11,10,3
282,OUT114,9,8,3
286,OUT136,7,-1,7
290,OUT145,2,-9,7
294,OUT150,13,5,3
298,OUT157,12,7,3
302,OUT180,-4,-14,5
306,OUT185,1,-3,7
310,OUT193,-27,-8,2
314,OUT210,-6,-6,2
318,OUT220,-4,-14,5
322,OUT228,-17,0,2
326,OUT246,12,0,7
330,OUT252,-5,-17,5
334,OUT261,-23,-8,2
338,OUT270,-6,-16,5
342,OUT280,-15,3,2
346,OUT285,4,6,7
350,OUT297,4,10,6
354,OUT314,11,-5,7
358,OUT318,3,9,6
362,OUT324,-6,-7,2
366,OUT329,7,12,6
370,OUT335,1,-15,5
374,OUT340,13,11,3
378,OUT346,11,-1,7
382,OUT352,4,12,6
386,OUT361,-15,3,2
390,OUT365,2,3,7
394,OUT373,0,-12,5
398,OUT380,14,7,3
402,OUT389,8,-24,5
406,OUT399,15,11,3
410,OUT405,15,-1,0
414,OUT412,2,-11,7
418,OUT516,11,-11,7
422,OUT524,-2,3,7
426,OUT535,18,-14,5
430,OUT545,16,-12,0
434,OUT554,10,15,3
438,OUT560,26,7,3
442,OUT568,18,-13,5
446,OUT577,15,-14,5
