tick,agent_id,x,y,color
2,341,11,-20,5
2,169,13,-2,7
2,413,0,-11,5
2,181,2,-1,7
2,165,8,-26,5
2,17,-9.09961,11.1006,1
2,353,-3.40634,0.93245,7
2,345,-4,2,7
2,425,12,-11,7
2,193,10,5,3
2,77,15,6,3
2,373,3,-6,7
2,377,-20,0,2
2,189,12,10,3
2,129,-17,12,4
2,41,14,-13,0
2,405,0.866404,4.32368,7
2,357,-9,8,1
2,293,17,19,3
2,389,-14.3069,-0.176752,2
2,149,11,-11,7
2,73,12,9,3
2,93,13,-13,5
2,153,4,14,6
2,45,-27,-8,2
2,57,11.745,-13.5055,5
2,125,-2,-13,5
2,21,12,8,3
2,113,12,8,3
2,445,12,17,3
2,9,12,9,3
2,261,14,-12,0
2,401,3,-4,7
2,69,13.1798,8.01793,3
2,177,21,11,3
2,205,13,11,3
2,241,-11.0789,-19.1936,5
2,105,13,9,3
2,245,0,-19,5
2,229,-7,-7,2
2,349,10,10,3
2,289,-4,-9,7
2,437,17,1,3
2,29,-28,-1,4
2,269,-14,12,4
2,133,11.471,8.4174,3
2,381,12,-4,7
2,317,9.02824,-4.01367,7
2,309,-10,-10,2
2,53,-7,10,1
2,49,12.1372,9.99054,3
2,397,-8.91808,0.541246,2
2,33,-49,-1,4
2,237,12,2,7
2,253,12.2339,-10.3442,7
2,197,7,5,7
2,433,12,19,3
3,265,13,10,3
3,61,-4,2,7
3,33,-49,-1,4
3,329,4.90907,-23.5381,5
3,337,12.9536,16.0165,3
3,229,-7,-7,2
3,109,13,-1,7
3,261,14,-12,0
3,409,4,14,6
3,213,3,4,7
3,129,-17,12,4
3,385,17,-19,5
3,289,-4,-9,7
3,57,11.0418,-13.1672,5
3,301,10,16,3
3,421,7,-2,7
3,417,10,4,7
3,437,17,1,3
3,257,3.15897,-1.16588,7
3,245,0,-19,5
3,89,11,9,3
3,365,-22.1795,-1.85129,2
3,333,6.23432,16.3104,6
3,205,13,11,3
3,237,12,2,7
3,165,8,-26,5
3,425,12,-11,7
3,73,12,9,3
3,41,14,-13,0
3,253,11.3899,-8.66706,7
3,81,8.74224,17.2849,3
3,1,9.72517,6.62806,3
3,29,-28,-1,4
3,117,17,-13,5
3,149,11,-11,7
3,113,12,8,3
3,373,3,-6,7
3,293,17,19,3
3,137,14,-13,0
3,225,12,8,3
3,97,-7,-10,2
3,153,4,14,6
3,125,-2,-13,5
3,341,11,-20,5
3,173,13,3,0
3,389,-13.1404,-1.20208,2
3,121,16,-12,0
3,197,7,5,7
3,21,12,8,3
3,69,12.7561,8.1252,3
3,37,11.4756,7.76104,3
3,249,-0.376354,-1.20648,7
