"tick","total_blue","total_orange","total_red","total_yellow","total_green","total_purple","total_magenta","total_white","run_id"
0.5,17,41,155,8,73,23,118,1,2
1.5,17,40,154,8,74,22,124,1,2
2.5,17,40,152,8,70,24,130,1,2
3.5,18,39,150,8,71,22,133,1,2
4.5,17,40,152,6,68,22,137,1,2
5.5,16,40,147,6,64,22,147,1,2
6.5,15,39,144,6,63,22,153,1,2
7.5,16,39,141,6,57,21,162,1,2
8.5,16,37,133,5,52,21,179,1,2
9.5,16,35,128,5,46,20,193,1,2
10.5,13,35,126,5,44,20,200,1,2
11.5,14,35,115,5,42,17,215,1,2
12.5,13,32,104,6,39,15,234,1,2
13.5,13,30,99,5,37,14,245,1,2
14.5,11,30,87,5,35,15,260,1,2
15.5,12,30,81,3,32,14,272,1,2
16.5,9,27,75,4,27,12,290,1,2
17.5,8,26,70,3,23,10,304,1,2
18.5,10,22,62,2,21,9,318,1,2
19.5,9,20,55,2,19,10,329,1,2
20.5,10,18,44,2,18,9,343,1,2
21.5,9,16,39,0,15,8,357,1,2
22.5,7,12,31,0,13,4,377,1,2
23.5,5,10,27,0,11,5,386,1,2
24.5,4,8,21,0,10,5,396,1,2
25.5,3,8,15,0,9,5,404,1,2
26.5,2,7,13,0,7,3,412,1,2
27.5,2,6,9,0,7,2,418,1,2
28.5,2,5,8,0,6,2,421,1,2
29.5,2,5,5,0,6,2,424,1,2
30.5,2,5,4,0,6,2,425,1,2
31.5,2,4,4,0,6,2,426,1,2
32.5,2,4,4,0,6,2,426,1,2
33.5,2,3,4,0,6,2,427,1,2
34.5,2,3,4,0,6,1,428,1,2
35.5,2,2,3,0,6,2,429,1,2
36.5,1,2,3,0,6,1,431,1,2
37.5,0,2,3,0,5,1,433,1,2
38.5,0,1,3,0,5,0,435,1,2
39.5,0,1,3,0,5,0,435,1,2
40.5,0,0,3,0,5,0,436,1,2
41.5,0,0,3,0,4,0,437,1,2
42.5,0,0,3,0,4,0,437,1,2
43.5,0,0,3,0,4,0,437,1,2
44.5,0,0,3,0,4,0,437,1,2
45.5,0,0,3,0,4,0,437,1,2
46.5,0,0,3,0,4,0,437,1,2
47.5,0,0,3,0,4,0,437,1,2
48.5,0,0,3,0,4,0,437,1,2
49.5,0,0,3,0,4,0,437,1,2
50.5,0,0,3,0,4,0,437,1,2
51.5,0,0,3,0,4,0,437,1,2
52.5,0,0,3,0,4,0,437,1,2
53.5,0,0,3,0,4,0,437,1,2
54.5,0,0,3,0,4,0,437,1,2
55.5,0,0,3,0,4,0,437,1,2
56.5,0,0,3,0,4,0,437,1,2
57.5,0,0,3,0,4,0,437,1,2
58.5,0,0,3,0,4,0,437,1,2
59.5,0,0,3,0,4,0,437,1,2
60.5,0,0,3,0,4,0,437,1,2
61.5,0,0,3,0,4,0,437,1,2
62.5,0,0,3,0,4,0,437,1,2
63.5,0,0,3,0,4,0,437,1,2
64.5,0,0,3,0,4,0,437,1,2
65.5,0,0,3,0,4,0,437,1,2
66.5,0,0,3,0,4,0,437,1,2
67.5,0,0,3,0,4,0,437,1,2
68.5,0,0,3,0,4,0,437,1,2
69.5,0,0,3,0,4,0,437,1,2
70.5,0,0,3,0,4,0,437,1,2
71.5,0,0,3,0,4,0,437,1,2
72.5,0,0,3,0,4,0,437,1,2
73.5,0,0,3,0,4,0,437,1,2
74.5,0,0,3,0,4,0,437,1,2
75.5,0,0,3,0,4,0,437,1,2
76.5,0,0,3,0,4,0,437,1,2
77.5,0,0,3,0,4,0,437,1,2
78.5,0,0,3,0,4,0,437,1,2
79.5,0,0,3,0,4,0,437,1,2
80.5,0,0,3,0,4,0,437,1,2
81.5,0,0,3,0,4,0,437,1,2
82.5,0,0,3,0,4,0,437,1,2
83.5,0,0,3,0,4,0,437,1,2
84.5,0,0,3,0,4,0,437,1,2
85.5,0,0,3,0,4,0,437,1,2
86.5,0,0,3,0,4,0,437,1,2
87.5,0,0,3,0,4,0,437,1,2
88.5,0,0,3,0,4,0,437,1,2
89.5,0,0,3,0,4,0,437,1,2
90.5,0,0,3,0,4,0,437,1,2
91.5,0,0,3,0,4,0,437,1,2
92.5,0,0,3,0,4,0,437,1,2
93.5,0,0,3,0,4,0,437,1,2
94.5,0,0,3,0,4,0,437,1,2
95.5,0,0,3,0,4,0,437,1,2
96.5,0,0,3,0,4,0,437,1,2
97.5,0,0,3,0,4,0,437,1,2
98.5,0,0,3,0,4,0,437,1,2
99.5,0,0,3,0,4,0,437,1,2
100,0,0,3,0,4,0,437,1,2
