x,y,color,centroid_x,centroid_y
-47,-49,0,-50,-50
-47,-48,0,-50,-50
-47,-47,0,-50,-50
-47,-46,0,-50,-50
-47,-45,0,-50,-50
-47,-44,0,-50,-50
-47,-43,0,-50,-50
-47,-42,0,-50,-50
-47,-41,0,-50,-50
-47,-40,0,-50,-50
-47,-39,0,-50,-50
-47,-38,0,-50,-50
-47,-37,0,-50,-50
-47,-36,0,-50,-50
-47,-35,0,-50,-50
-47,-34,0,-50,-50
-47,-33,0,-50,-50
-47,-32,0,-50,-50
-47,-31,0,-50,-50
-47,-30,0,-50,-50
-47,-29,0,-50,-50
-47,-28,0,-50,-50
-47,-27,0,-50,-50
-47,-26,0,-50,-50
-47,-25,0,-50,-50
-47,-24,0,-50,-50
-47,-23,0,-50,-50
-47,-22,0,-50,-50
-47,-21,0,-50,-50
-47,-20,0,-50,-50
-47,-19,0,-50,-50
-47,-18,0,-50,-50
-47,-17,0,-50,-50
-47,-16,0,-50,-50
-47,-15,0,-50,-50
-47,-14,0,-50,-50
-47,-13,0,-50,-50
-47,-12,0,-50,-50
-47,-11,0,-50,-50
-47,-10,0,-50,-50
-47,-9,0,-50,-50
-47,-8,0,-50,-50
-47,-7,0,-50,-50
-47,-6,0,-50,-50
-47,-5,0,-50,-50
-47,-4,0,-50,-50
-47,-3,0,-50,-50
-47,-2,0,-50,-50
-47,-1,0,-50,-50
-47,0,0,-50,-50
-47,1,0,-50,-50
-47,2,0,-50,-50
-47,3,0,-50,-50
-47,4,0,-50,-50
-47,5,0,-50,-50
-47,6,4,-23.5561,16.2664
-47,7,0,-50,-50
-47,8,0,-50,-50
-47,9,0,-50,-50
-47,10,0,-50,-50
-47,11,0,-50,-50
-47,12,0,-50,-50
-47,13,0,-50,-50
-47,14,0,-50,-50
-47,15,0,-50,-50
-47,16,0,-50,-50
-47,17,0,-50,-50
-47,18,4,-23.5561,16.2664
-47,19,0,-50,-50
-47,20,0,-50,-50
-47,21,0,-50,-50
-47,22,0,-50,-50
-47,23,0,-50,-50
-47,24,4,-23.5561,16.2664
-47,25,0,-50,-50
-47,26,0,-50,-50
-47,27,4,-23.5561,16.2664
-47,28,0,-50,-50
-47,29,0,-50,-50
-47,30,0,-50,-50
-47,31,0,-50,-50
-47,32,0,-50,-50
-47,33,0,-50,-50
-47,34,0,-50,-50
-47,35,0,-50,-50
-47,36,0,-50,-50
-47,37,0,-50,-50
-47,38,0,-50,-50
-47,39,0,-50,-50
-47,40,4,-23.5561,16.2664
-47,41,0,-50,-50
-47,42,0,-50,-50
-47,43,0,-50,-50
-47,44,0,-50,-50
-47,45,0,-50,-50
-47,46,0,-50,-50
-47,47,0,-50,-50
-47,48,0,-50,-50
-47,49,0,-50,-50
-46,-49,0,-50,-50
-46,-48,0,-50,-50
-46,-47,0,-50,-50
-46,-46,0,-50,-50
-46,-45,0,-50,-50
-46,-44,0,-50,-50
-46,-43,0,-50,-50
-46,-42,0,-50,-50
-46,-41,0,-50,-50
-46,-40,0,-50,-50
-46,-39,0,-50,-50
-46,-38,5,-0.424353,-23.2557
-46,-37,0,-50,-50
-46,-36,0,-50,-50
-46,-35,0,-50,-50
-46,-34,0,-50,-50
-46,-33,0,-50,-50
-46,-32,0,-50,-50
-46,-31,0,-50,-50
-46,-30,0,-50,-50
-46,-29,0,-50,-50
-46,-28,0,-50,-50
-46,-27,0,-50,-50
-46,-26,0,-50,-50
-46,-25,0,-50,-50
-46,-24,0,-50,-50
-46,-23,0,-50,-50
-46,-22,0,-50,-50
-46,-21,0,-50,-50
-46,-20,0,-50,-50
-46,-19,0,-50,-50
-46,-18,0,-50,-50
-46,-17,0,-50,-50
-46,-16,0,-50,-50
-46,-15,0,-50,-50
-46,-14,0,-50,-50
-46,-13,0,-50,-50
-46,-12,0,-50,-50
-46,-11,0,-50,-50
-46,-10,0,-50,-50
-46,-9,0,-50,-50
-46,-8,0,-50,-50
-46,-7,0,-50,-50
-46,-6,0,-50,-50
-46,-5,0,-50,-50
-46,-4,0,-50,-50
-46,-3,0,-50,-50
-46,-2,0,-50,-50
-46,-1,0,-50,-50
-46,0,0,-50,-50
-46,1,0,-50,-50
-46,2,0,-50,-50
-46,3,0,-50,-50
-46,4,0,-50,-50
-46,5,0,-50,-50
-46,6,0,-50,-50
-46,7,4,-23.5561,16.2664
-46,8,0,-50,-50
-46,9,0,-50,-50
-46,10,0,-50,-50
-46,11,0,-50,-50
-46,12,0,-50,-50
-46,13,0,-50,-50
-46,14,4,-23.5561,16.2664
-46,15,4,-23.5561,16.2664
-46,16,0,-50,-50
-46,17,4,-23.5561,16.2664
-46,18,0,-50,-50
-46,19,4,-23.5561,16.2664
-46,20,4,-23.5561,16.2664
-46,21,0,-50,-50
-46,22,0,-50,-50
-46,23,0,-50,-50
-46,24,0,-50,-50
-46,25,4,-23.5561,16.2664
-46,26,0,-50,-50
-46,27,0,-50,-50
-46,28,0,-50,-50
-46,29,0,-50,-50
-46,30,0,-50,-50
-46,31,0,-50,-50
-46,32,0,-50,-50
-46,33,0,-50,-50
-46,34,0,-50,-50
-46,35,0,-50,-50
-46,36,0,-50,-50
-46,37,0,-50,-50
-46,38,0,-50,-50
-46,39,0,-50,-50
