"tick","total_blue","total_orange","total_red","total_yellow","total_green","total_purple","total_magenta","total_white","run_id"
0.5,16,40,145,8,62,25,117,0,11
1.5,15,40,146,8,65,25,122,0,11
2.5,15,39,146,8,65,24,124,0,11
3.5,15,38,147,8,66,25,126,0,11
4.5,15,37,147,7,68,25,128,0,11
5.5,15,37,147,7,67,25,129,0,11
6.5,15,37,146,7,68,25,132,0,11
7.5,15,37,142,7,65,25,140,0,11
8.5,15,37,142,7,61,25,146,0,11
9.5,16,37,140,7,61,25,149,0,11
10.5,16,37,138,7,62,26,153,0,11
11.5,16,37,135,7,61,26,158,0,11
12.5,16,37,134,7,56,25,165,0,11
13.5,17,36,134,6,56,25,168,0,11
14.5,17,36,133,6,55,26,170,0,11
15.5,17,36,133,6,52,25,174,0,11
16.5,16,36,130,6,50,26,180,0,11
17.5,17,36,127,5,50,26,183,0,11
18.5,17,36,125,5,48,27,186,0,11
19.5,18,36,121,4,47,32,186,0,11
20.5,18,36,118,4,47,35,186,0,11
21.5,18,36,116,4,46,35,189,0,11
22.5,17,36,116,4,46,35,190,0,11
23.5,17,36,112,4,44,38,193,0,11
24.5,16,36,110,4,44,39,195,0,11
25.5,16,36,108,4,43,41,196,0,11
26.5,16,34,107,4,43,40,200,0,11
27.5,16,33,106,4,42,40,203,0,11
28.5,16,33,104,4,42,42,203,0,11
29.5,15,32,101,4,40,44,208,0,11
30.5,15,31,99,4,40,46,209,0,11
31.5,14,31,99,4,39,46,211,0,11
32.5,14,31,99,4,39,45,212,0,11
33.5,14,30,99,4,39,44,214,0,11
34.5,14,28,94,4,37,48,219,0,11
35.5,14,28,96,4,37,43,222,0,11
36.5,13,28,93,4,37,45,224,0,11
37.5,12,28,91,4,37,48,224,0,11
38.5,12,28,90,4,37,48,225,0,11
39.5,10,28,90,4,36,45,231,0,11
40.5,10,28,90,4,36,43,233,0,11
41.5,10,28,90,4,36,42,234,0,11
42.5,10,28,87,4,35,44,236,0,11
43.5,10,28,87,4,35,43,237,0,11
44.5,10,28,87,4,35,42,238,0,11
45.5,10,28,85,4,35,44,238,0,11
46.5,9,28,83,4,35,46,239,0,11
47.5,9,28,83,4,35,45,240,0,11
48.5,9,28,83,4,35,45,240,0,11
49.5,9,28,83,4,35,45,240,0,11
50.5,9,28,83,4,35,43,242,0,11
51.5,9,28,83,4,35,42,243,0,11
52.5,9,28,81,4,35,42,245,0,11
53.5,9,28,81,4,35,40,247,0,11
54.5,9,28,81,4,35,40,247,0,11
55.5,9,28,81,4,35,40,247,0,11
56.5,9,28,81,4,35,40,247,0,11
57.5,9,28,81,4,35,39,248,0,11
58.5,9,28,81,4,35,39,248,0,11
59.5,9,28,81,4,35,38,249,0,11
60.5,9,28,81,4,35,37,250,0,11
61.5,9,28,81,4,35,37,250,0,11
62.5,9,28,81,4,35,36,251,0,11
63.5,9,28,81,4,35,36,251,0,11
64.5,9,28,81,4,35,36,251,0,11
65.5,9,28,81,4,35,36,251,0,11
66.5,9,28,80,4,35,37,251,0,11
67.5,9,28,79,4,35,38,251,0,11
68.5,9,28,78,4,35,38,252,0,11
69.5,9,28,77,4,35,38,253,0,11
70.5,9,28,77,4,35,37,254,0,11
71.5,9,28,77,4,35,34,257,0,11
72.5,9,28,75,4,35,35,258,0,11
73.5,9,28,74,4,35,34,260,0,11
74.5,9,28,74,4,35,34,260,0,11
75.5,9,28,74,4,35,32,262,0,11
76.5,9,28,74,4,35,29,265,0,11
77.5,9,28,74,4,35,27,267,0,11
78.5,9,28,73,4,35,28,267,0,11
79.5,9,28,73,4,35,26,269,0,11
80.5,9,28,73,4,35,25,270,0,11
81.5,9,28,73,4,35,24,271,0,11
82.5,9,28,73,4,35,24,271,0,11
83.5,9,28,73,4,35,24,271,0,11
84.5,9,28,73,4,35,24,271,0,11
85.5,9,28,73,4,35,23,272,0,11
86.5,9,28,73,4,35,21,274,0,11
87.5,9,28,73,4,35,20,275,0,11
88.5,9,28,73,4,35,20,275,0,11
89.5,9,28,73,4,35,20,275,0,11
90.5,9,28,73,4,35,20,275,0,11
91.5,9,28,73,4,35,20,275,0,11
92.5,9,28,73,4,35,20,275,0,11
93.5,9,28,73,4,35,20,275,0,11
94.5,9,28,73,4,35,20,275,0,11
95.5,9,28,73,4,35,20,275,0,11
96.5,9,28,73,4,35,20,275,0,11
97.5,9,28,73,4,35,20,275,0,11
98.5,9,28,73,4,35,20,275,0,11
99.5,9,28,73,4,35,20,275,0,11
100,9,28,73,4,35,20,275,0,11
