id,name,x,y,color
3,007,12,7,3
7,021,12,9,3
11,035,10,3,7
15,041,12,9,3
19,046,2,6,7
23,050,12,9,3
27,059,13,10,3
31,071,10,4,7
35,080,5,2,7
39,091,19,10,3
43,099,12,8,3
47,103,12,7,3
51,113,12,5,3
55,122,12,9,3
59,131,13,9,3
63,142,14,-3,7
67,147,1,-5,7
71,152,10,-10,7
75,162,16,2,3
79,170,12,8,3
83,177,13,2,7
87,188,12,8,3
91,195,0,-7,7
95,206,13,5,3
99,221,-6,-3,2
103,A006,14,6,3
107,A011,9,-8,7
111,A016,14,-13,0
115,A027,-3,-14,5
119,A038,-20,1,2
123,A047,-3,-14,5
127,A056,10,4,7
131,A071,-1,5,7
135,A080,12,9,3
139,A090,12,-10,7
143,A095,10,5,3
147,A106,13,0,7
151,A114,11,6,3
155,A120,14,-13,0
159,A126,13,-19,5
163,A130,10,0,7
167,A166,-10,9,1
171,A208,-5,-2,7
175,A221,14,11,3
179,A231,10,4,7
183,A243,4,-11,5
187,A252,11,3,7
191,A261,-10,-6,2
195,A267,-1,-2,7
199,A273,0,8,1
203,A278,12,6,3
207,A284,5,-10,7
211,A297,8,-26,5
215,A301,13,11,3
219,A309,4,9,6
223,A315,17,-13,5
227,A322,-3,-14,5
231,A329,12,5,3
235,A336,-1,-1,7
239,Ex013,13,5,3
243,OUT005,12,9,3
247,OUT016,11,5,3
251,OUT027,13,-13,5
255,OUT042,-8,21,1
259,OUT055,6,0,7
263,OUT069,5,-14,5
267,OUT076,13,11,3
271,OUT085,7,3,7
275,OUT100,-8,-5,2
279,OUT110,-4,-14,5
283,OUT121,16,10,3
287,OUT137,7,-3,7
291,OUT146,12,8,3
295,OUT151,16,3,3
299,OUT163,11,0,7
303,OUT181,14,-13,0
307,OUT186,13,5,3
311,OUT194,-27,-8,2
315,OUT213,28,1,0
319,OUT221,-3,17,6
323,OUT230,2,20,6
327,OUT247,-15,9,1
331,OUT255,7,15,3
335,OUT263,28,0,3
339,OUT272,-16,1,2
343,OUT281,11,19,3
347,OUT293,12,6,3
351,OUT302,6,-10,7
355,OUT315,5,-13,5
359,OUT321,3,24,6
363,OUT325,2,5,7
367,OUT330,-24,8,4
371,OUT337,16,2,3
375,OUT341,-27,-8,2
379,OUT347,13,10,3
383,OUT354,8,17,3
387,OUT362,-20,-8,2
391,OUT369,3,0,7
395,OUT375,11,6,3
399,OUT383,-3,-22,5
403,OUT390,2,2,7
407,OUT400,4,-17,5
411,OUT407,-6,8,1
415,OUT420,0,-8,7
419,OUT518,12,8,3
423,OUT530,17,-19,5
427,OUT537,3,8,6
431,OUT546,8,-8,7
435,OUT557,-18,5,2
439,OUT564,17,-13,5
443,OUT569,0,-27,5
