"tick","total_blue","total_orange","total_red","total_yellow","total_green","total_purple","total_magenta","total_white","run_id"
0.5,16,37,154,10,81,24,104,0,13
1.5,15,37,149,10,81,26,113,0,13
2.5,15,37,152,10,81,26,111,0,13
3.5,15,37,153,10,81,24,114,0,13
4.5,15,36,153,10,80,24,116,0,13
5.5,15,36,153,10,79,24,117,0,13
6.5,14,36,152,10,79,24,119,0,13
7.5,14,38,149,10,77,24,124,1,13
8.5,14,38,147,10,75,26,126,1,13
9.5,14,38,146,10,74,27,128,1,13
10.5,15,39,146,9,76,27,128,1,13
11.5,15,39,146,9,73,27,131,1,13
12.5,15,40,143,9,71,27,136,1,13
13.5,15,38,144,9,71,28,139,1,13
14.5,15,38,142,9,70,28,143,1,13
15.5,15,38,142,9,68,28,145,1,13
16.5,15,38,138,9,66,29,150,1,13
17.5,15,38,138,9,65,28,152,1,13
18.5,16,38,136,8,65,30,152,1,13
19.5,17,39,134,7,59,31,158,1,13
20.5,16,39,130,7,60,35,158,1,13
21.5,15,39,128,7,60,38,158,1,13
22.5,16,39,126,7,59,39,159,1,13
23.5,16,39,124,7,57,39,163,1,13
24.5,16,37,119,7,55,42,169,1,13
25.5,15,37,116,7,54,45,171,1,13
26.5,17,36,114,6,54,45,173,1,13
27.5,17,36,110,6,54,47,175,1,13
28.5,16,36,106,6,54,49,178,1,13
29.5,17,36,100,6,54,53,179,1,13
30.5,15,36,96,6,53,56,183,1,13
31.5,15,35,94,6,53,57,185,1,13
32.5,15,34,91,6,53,59,187,1,13
33.5,15,33,93,6,53,57,188,1,13
34.5,16,31,92,6,53,55,192,1,13
35.5,17,31,92,6,52,52,195,1,13
36.5,15,31,90,6,52,53,198,1,13
37.5,12,31,89,6,52,56,199,1,13
38.5,12,31,89,6,52,55,200,1,13
39.5,13,31,89,6,52,54,200,1,13
40.5,13,31,88,6,51,54,202,1,13
41.5,10,31,87,6,51,55,205,1,13
42.5,10,31,88,6,51,53,206,1,13
43.5,9,31,88,6,50,52,209,1,13
44.5,10,31,87,6,50,52,209,1,13
45.5,8,31,86,6,50,54,210,1,13
46.5,9,31,87,6,50,52,210,1,13
47.5,8,31,87,6,50,49,214,1,13
48.5,8,31,87,6,50,48,215,1,13
49.5,8,31,86,6,50,48,216,1,13
50.5,8,31,85,6,50,46,219,1,13
51.5,8,31,84,6,50,47,219,1,13
52.5,8,31,83,6,50,47,220,1,13
53.5,8,31,83,6,50,47,220,1,13
54.5,8,31,83,6,50,47,220,1,13
55.5,8,31,83,6,50,47,220,1,13
56.5,8,31,83,6,50,47,220,1,13
57.5,9,31,83,6,50,45,221,1,13
58.5,8,31,82,6,50,46,222,1,13
59.5,8,31,82,6,50,46,222,1,13
60.5,8,31,82,6,50,45,223,1,13
61.5,8,31,82,6,50,45,223,1,13
62.5,8,31,82,6,50,45,223,1,13
63.5,8,31,82,6,50,45,223,1,13
64.5,8,31,82,6,49,44,225,1,13
65.5,8,31,82,6,49,44,225,1,13
66.5,8,31,82,6,49,44,225,1,13
67.5,8,31,82,6,49,44,225,1,13
68.5,8,31,82,6,49,43,226,1,13
69.5,8,31,82,6,49,41,228,1,13
70.5,8,31,82,6,49,40,229,1,13
71.5,8,31,82,6,49,39,230,1,13
72.5,8,31,82,6,49,39,230,1,13
73.5,8,31,82,6,49,39,230,1,13
74.5,8,31,82,6,49,39,230,1,13
75.5,8,31,82,6,49,39,230,1,13
76.5,8,31,82,6,49,39,230,1,13
77.5,8,31,82,6,49,39,230,1,13
78.5,9,31,82,6,49,38,230,1,13
79.5,8,31,82,6,49,38,231,1,13
80.5,8,31,82,6,49,38,231,1,13
81.5,8,31,82,6,49,37,232,1,13
82.5,8,31,82,6,49,37,232,1,13
83.5,8,31,82,6,49,36,233,1,13
84.5,8,31,82,6,49,36,233,1,13
85.5,8,31,82,6,49,35,234,1,13
86.5,8,31,82,6,49,33,236,1,13
87.5,8,31,82,6,49,32,237,1,13
88.5,8,31,82,6,49,32,237,1,13
89.5,8,31,82,6,49,32,237,1,13
90.5,8,31,82,6,49,32,237,1,13
91.5,8,31,82,6,49,32,237,1,13
92.5,8,31,82,6,49,32,237,1,13
93.5,8,31,82,6,49,31,238,1,13
94.5,8,31,82,6,49,31,238,1,13
95.5,8,31,82,6,49,31,238,1,13
96.5,8,31,82,6,49,31,238,1,13
97.5,8,31,82,6,49,31,238,1,13
98.5,8,31,82,6,49,31,238,1,13
99.5,8,31,82,6,49,31,238,1,13
100,8,31,82,6,49,31,238,1,13
