"tick","total_blue","total_orange","total_red","total_yellow","total_green","total_purple","total_magenta","total_white","run_id"
0.5,17,40,150,8,81,24,113,0,14
1.5,17,39,148,8,78,26,121,0,14
2.5,18,39,149,8,76,24,123,0,14
3.5,18,39,150,8,77,23,124,0,14
4.5,18,38,150,9,76,23,126,0,14
5.5,17,38,149,9,75,23,129,1,14
6.5,17,38,148,9,75,24,129,1,14
7.5,17,38,147,9,73,24,133,1,14
8.5,18,38,144,9,71,24,137,1,14
9.5,19,38,143,8,71,24,138,1,14
10.5,19,37,142,8,69,25,141,1,14
11.5,19,37,143,8,66,24,144,1,14
12.5,19,36,140,8,65,25,149,1,14
13.5,19,36,140,8,62,25,152,1,14
14.5,19,36,140,8,61,25,153,1,14
15.5,19,36,138,8,60,25,157,1,14
16.5,19,36,135,8,60,26,159,1,14
17.5,18,36,134,8,59,28,160,1,14
18.5,18,36,132,8,58,29,163,1,14
19.5,19,36,127,7,56,32,167,1,14
20.5,20,36,126,6,55,33,169,1,14
21.5,20,36,123,6,54,35,171,1,14
22.5,20,35,118,6,52,38,176,1,14
23.5,19,35,112,6,52,43,178,1,14
24.5,19,35,110,6,52,43,180,1,14
25.5,19,34,99,6,51,52,184,1,14
26.5,19,33,98,5,51,53,186,1,14
27.5,19,33,96,5,51,51,190,1,14
28.5,19,33,94,5,51,53,190,1,14
29.5,19,33,92,5,51,53,192,1,14
30.5,18,33,87,5,50,57,195,1,14
31.5,18,32,82,5,49,61,198,1,14
32.5,17,31,81,5,48,62,201,1,14
33.5,15,30,80,5,48,60,207,1,14
34.5,15,30,79,5,48,60,208,1,14
35.5,13,30,78,5,46,60,213,1,14
36.5,12,30,78,5,46,62,212,1,14
37.5,12,30,78,5,46,61,213,1,14
38.5,13,30,77,5,45,57,218,1,14
39.5,12,30,77,5,45,58,218,1,14
40.5,11,30,77,5,45,57,220,1,14
41.5,11,30,77,5,45,57,220,1,14
42.5,10,30,77,5,45,57,221,1,14
43.5,10,30,77,5,45,56,222,1,14
44.5,10,30,76,5,45,57,222,1,14
45.5,10,30,76,5,45,57,222,1,14
46.5,10,30,76,5,45,57,222,1,14
47.5,10,30,77,5,45,56,222,1,14
48.5,10,30,77,5,44,56,223,1,14
49.5,10,30,76,5,44,56,224,1,14
50.5,10,30,76,5,44,55,225,1,14
51.5,10,30,76,5,44,55,225,1,14
52.5,10,30,76,5,44,54,226,1,14
53.5,10,30,76,5,44,54,226,1,14
54.5,10,30,76,5,44,54,226,1,14
55.5,10,30,76,5,44,54,226,1,14
56.5,10,30,76,5,44,54,226,1,14
57.5,10,30,76,5,44,53,227,1,14
58.5,10,30,76,5,44,53,227,1,14
59.5,10,30,76,5,44,53,227,1,14
60.5,10,30,75,5,44,54,227,1,14
61.5,10,30,75,5,44,54,227,1,14
62.5,10,30,75,5,44,54,227,1,14
63.5,10,30,75,5,44,53,228,1,14
64.5,10,30,75,5,44,51,230,1,14
65.5,10,30,75,5,44,51,230,1,14
66.5,10,30,75,5,44,51,230,1,14
67.5,10,30,75,5,44,50,231,1,14
68.5,10,30,75,5,44,50,231,1,14
69.5,10,30,75,5,44,50,231,1,14
70.5,10,30,75,5,44,50,231,1,14
71.5,10,30,75,5,44,50,231,1,14
72.5,10,30,75,5,44,50,231,1,14
73.5,10,30,75,5,44,50,231,1,14
74.5,10,30,75,5,44,50,231,1,14
75.5,10,30,75,5,44,50,231,1,14
76.5,10,30,75,5,44,50,231,1,14
77.5,10,30,75,5,44,50,231,1,14
78.5,10,30,75,5,44,50,231,1,14
79.5,10,30,75,5,44,50,231,1,14
80.5,10,30,75,5,44,49,232,1,14
81.5,10,30,75,5,44,49,232,1,14
82.5,10,30,75,5,44,49,232,1,14
83.5,10,30,75,5,44,49,232,1,14
84.5,10,30,75,5,44,49,232,1,14
85.5,10,30,75,5,44,49,232,1,14
86.5,10,30,75,5,44,48,233,1,14
87.5,11,30,75,5,44,48,232,1,14
88.5,11,30,75,5,44,48,232,1,14
89.5,11,30,75,5,44,48,232,1,14
90.5,10,30,75,5,44,48,233,1,14
91.5,10,30,75,5,44,47,234,1,14
92.5,10,30,75,5,44,47,234,1,14
93.5,10,30,75,5,44,47,234,1,14
94.5,10,30,75,5,44,46,235,1,14
95.5,10,30,75,5,44,45,236,1,14
96.5,10,30,75,5,44,44,237,1,14
97.5,10,30,75,5,44,44,237,1,14
98.5,10,30,75,5,44,43,238,1,14
99.5,10,30,75,5,44,42,239,1,14
100,10,30,75,5,44,42,239,1,14
