"tick","total_blue","total_orange","total_red","total_yellow","total_green","total_purple","total_magenta","total_white","run_id"
0.5,16,34,153,10,78,23,112,0,10
1.5,16,33,152,10,78,25,114,0,10
2.5,16,31,152,10,78,25,118,0,10
3.5,16,32,151,9,81,24,119,0,10
4.5,16,33,151,8,80,24,120,0,10
5.5,16,33,150,8,79,25,121,0,10
6.5,16,33,150,8,77,25,124,0,10
7.5,16,35,147,8,76,26,129,1,10
8.5,16,35,144,8,72,26,137,1,10
9.5,17,35,144,7,69,27,139,1,10
10.5,18,36,146,6,68,26,139,1,10
11.5,18,36,146,6,65,25,144,1,10
12.5,18,37,144,6,64,25,147,1,10
13.5,18,36,142,6,63,27,150,1,10
14.5,18,37,143,6,62,26,151,1,10
15.5,18,37,141,6,60,27,154,1,10
16.5,18,37,140,6,59,26,157,1,10
17.5,19,37,141,5,57,27,157,1,10
18.5,19,37,141,5,56,29,156,1,10
19.5,19,38,139,5,55,30,158,1,10
20.5,19,38,140,5,56,29,157,1,10
21.5,20,38,139,4,53,30,160,1,10
22.5,20,38,137,4,52,32,161,1,10
23.5,20,38,138,4,51,32,161,1,10
24.5,20,38,137,4,51,33,161,1,10
25.5,20,37,135,4,51,34,163,1,10
26.5,20,36,133,4,51,36,164,1,10
27.5,20,35,132,4,51,36,166,1,10
28.5,20,34,131,4,50,36,169,1,10
29.5,21,33,127,4,50,38,171,1,10
30.5,21,33,123,4,50,42,171,1,10
31.5,21,33,122,4,50,41,173,1,10
32.5,21,33,123,4,48,40,175,1,10
33.5,20,32,120,4,47,44,177,1,10
34.5,19,32,119,4,46,46,178,1,10
35.5,17,32,117,4,45,50,179,1,10
36.5,19,31,117,4,45,47,181,1,10
37.5,18,31,116,4,45,46,184,1,10
38.5,18,31,116,4,45,46,184,1,10
39.5,16,31,113,4,45,49,186,1,10
40.5,16,31,112,4,45,46,190,1,10
41.5,14,31,111,4,45,47,192,1,10
42.5,14,31,111,4,45,45,194,1,10
43.5,13,31,112,4,45,43,196,1,10
44.5,12,31,110,4,45,44,198,1,10
45.5,12,31,109,4,45,46,197,1,10
46.5,11,31,110,4,45,45,198,1,10
47.5,11,31,109,4,45,46,198,1,10
48.5,11,31,110,4,45,44,199,1,10
49.5,11,31,110,4,45,45,198,1,10
50.5,11,31,108,4,45,46,199,1,10
51.5,11,31,108,4,45,45,200,1,10
52.5,11,31,108,4,45,43,202,1,10
53.5,11,31,107,4,45,43,203,1,10
54.5,11,31,107,4,45,42,204,1,10
55.5,11,31,107,4,45,42,204,1,10
56.5,10,31,107,4,45,41,206,1,10
57.5,10,31,106,4,45,43,205,1,10
58.5,10,31,107,4,45,41,206,1,10
59.5,10,31,107,4,45,40,207,1,10
60.5,10,31,107,4,45,40,207,1,10
61.5,10,31,106,4,45,40,208,1,10
62.5,10,31,105,4,45,40,209,1,10
63.5,10,31,108,4,45,37,209,1,10
64.5,10,31,107,4,45,38,209,1,10
65.5,10,31,104,4,45,40,210,1,10
66.5,10,31,103,4,45,42,209,1,10
67.5,10,31,103,4,45,40,211,1,10
68.5,10,31,101,4,45,41,212,1,10
69.5,10,31,100,4,45,43,211,1,10
70.5,10,31,100,4,45,41,213,1,10
71.5,10,31,99,4,44,40,216,1,10
72.5,10,31,98,4,44,41,216,1,10
73.5,10,31,98,4,44,38,219,1,10
74.5,10,31,101,4,44,35,219,1,10
75.5,10,30,101,4,44,33,222,1,10
76.5,10,30,101,4,44,31,224,1,10
77.5,10,30,101,4,44,30,225,1,10
78.5,10,30,100,4,44,29,227,1,10
79.5,10,30,100,4,44,29,227,1,10
80.5,10,30,100,4,44,29,227,1,10
81.5,10,30,100,4,44,29,227,1,10
82.5,10,30,98,4,44,31,227,1,10
83.5,10,30,98,4,44,31,227,1,10
84.5,10,30,98,4,44,31,227,1,10
85.5,10,30,98,4,44,31,227,1,10
86.5,10,30,95,4,44,33,228,1,10
87.5,10,30,94,4,44,34,228,1,10
88.5,10,30,93,4,44,34,229,1,10
89.5,10,30,93,4,44,33,230,1,10
90.5,10,30,93,4,44,31,232,1,10
91.5,10,30,92,4,44,32,232,1,10
92.5,10,30,90,4,44,33,233,1,10
93.5,10,30,90,4,44,31,235,1,10
94.5,10,30,89,4,44,31,236,1,10
95.5,10,30,89,4,44,28,239,1,10
96.5,10,30,89,4,44,27,240,1,10
97.5,10,30,89,4,44,26,241,1,10
98.5,10,30,89,4,44,25,242,1,10
99.5,10,30,88,4,44,25,243,1,10
100,10,30,88,4,44,25,243,1,10
