tick,agent_id,x,y,color
0,279,-4,-14,5
0,39,19,10,3
0,215,13,11,3
0,91,0,-7,7
0,223,17,-13,5
0,207,5,-10,7
0,119,-20,1,2
0,323,2,20,6
0,135,12,9,3
0,275,-8,-5,2
0,31,10,4,7
0,35,5,2,7
0,315,28,1,0
0,211,8,-26,5
0,27,13,10,3
0,327,-15,9,1
0,19,2,6,7
0,423,17,-19,5
0,43,12,8,3
0,67,1,-5,7
0,299,11,0,7
0,167,-10,9,1
0,367,-24,8,4
0,103,14,6,3
0,155,14,-13,0
0,251,13,-13,5
0,339,-16,1,2
0,143,10,5,3
0,271,7,3,7
0,239,13,5,3
0,203,12,6,3
0,7,12,9,3
0,15,12,9,3
0,427,3,8,6
0,59,13,9,3
0,243,12,9,3
0,379,13,10,3
0,115,-3,-14,5
0,83,13,2,7
0,87,12,8,3
0,303,14,-13,0
0,415,0,-8,7
0,419,12,8,3
0,131,-1,5,7
0,183,4,-11,5
0,411,-6,8,1
0,191,-10,-6,2
0,395,11,6,3
0,107,9,-8,7
0,375,-27,-8,2
0,219,4,9,6
0,283,16,10,3
0,139,12,-10,7
0,355,5,-13,5
0,247,11,5,3
0,111,14,-13,0
0,259,6,0,7
0,23,12,9,3
0,343,11,19,3
0,319,-3,17,6
0,179,10,4,7
0,231,12,5,3
0,99,-6,-3,2
0,331,7,15,3
0,407,4,-17,5
0,195,-1,-2,7
0,187,11,3,7
0,95,13,5,3
0,147,13,0,7
0,351,6,-10,7
0,267,13,11,3
0,363,2,5,7
0,307,13,5,3
0,199,0,8,1
0,311,-27,-8,2
0,127,10,4,7
0,383,8,17,3
0,75,16,2,3
0,371,16,2,3
0,159,13,-19,5
0,431,8,-8,7
0,175,14,11,3
0,235,-1,-1,7
0,255,-8,21,1
0,387,-20,-8,2
0,439,17,-13,5
0,151,11,6,3
0,391,3,0,7
0,443,0,-27,5
0,55,12,9,3
0,171,-5,-2,7
0,335,28,0,3
0,435,-18,5,2
0,11,10,3,7
0,399,-3,-22,5
0,47,12,7,3
0,63,14,-3,7
0,295,16,3,3
0,263,5,-14,5
0,3,12,7,3
0,51,12,5,3
0,403,2,2,7
0,163,10,0,7
0,287,7,-3,7
0,347,12,6,3
0,71,10,-10,7
0,359,3,24,6
0,227,-3,-14,5
0,123,-3,-14,5
0,79,12,8,3
0,291,12,8,3
1,347,12,6,3
1,107,9,-8,7
1,79,12,8,3
1,7,12,9,3
1,3,12,7,3
1,175,14,11,3
1,51,12,5,3
1,263,5,-14,5
1,123,-3,-14,5
1,247,10.4253,3.49757,7
1,147,13,0,7
1,311,-27,-8,2
1,103,14,6,3
1,151,10.5556,6.24149,3
1,411,-6,8,1
1,367,-23.6854,8.0456,4
1,139,12.072,-8.77441,7
1,235,-1,-1,7
1,355,4.82607,-12.9312,5
1,335,28,0,3
1,415,0,-8,7
1,375,-27,-8,2
1,391,3,0,7
1,91,0,-7,7
1,215,13,11,3
1,407,3.9615,-16.9744,5
1,423,17,-19,5
1,379,13,10,3
1,267,13,11,3
1,43,12,8,3
1,211,8,-26,5
1,387,-18.4568,-6.74854,2
1,183,4,-11,5
1,159,13,-19,5
1,383,8,17,3
1,287,7,-3,7
1,435,-18,5,2
1,251,13,-13,5
1,59,13,9,3
1,431,6.5263,-7.09965,7
1,271,7,3,7
1,255,-7.38052,19.17,1
1,323,2,20,6
1,167,-8.46037,9.55887,1
1,351,6,-10,7
1,203,12,6,3
1,99,-6,-3,2
1,439,15.1518,-13.5296,5
1,39,17.8906,9.90523,3
1,315,28,1,0
1,75,15.0454,3.59896,3
1,67,2.00035,-3.26818,7
1,339,-16,1,2
1,119,-20,1,2
1,363,2,5,7
1,143,10,5,3
1,443,0,-27,5
1,195,-1,-2,7
1,227,-3,-14,5
1,327,-15,9,1
1,219,4,9,6
1,419,12,8,3
1,23,12,9,3
1,19,2.16459,4.02446,7
1,371,14.9082,2.67347,3
1,427,3,8,6
1,35,5.34067,1.46281,7
1,359,3,24,6
1,163,8.10645,-0.545536,7
1,155,14,-13,0
1,399,-3,-22,5
1,179,10,4,7
1,275,-8,-5,2
1,95,13,5,3
1,31,10,4,7
1,259,6,0,7
1,239,13.1968,5.02361,3
1,395,11,6,3
1,207,5,-10,7
1,71,10,-10,7
1,291,12,8,3
1,279,-4,-14,5
1,295,16,3,3
1,83,13,2,7
1,187,11,3,7
1,11,10,3,7
1,55,12,9,3
1,131,-1,5,7
1,87,12,8,3
1,303,14,-13,0
1,283,16,10,3
1,191,-10,-6,2
1,331,7,15,3
1,243,12,9,3
1,307,13,5,3
1,171,-5,-2,7
1,115,-3,-14,5
1,47,12,7,3
1,223,17,-13,5
1,299,11,0,7
1,343,11,19,3
1,15,12,9,3
1,27,13,10,3
1,127,10,4,7
1,135,12,9,3
1,319,-3,17,6
1,63,14,-3,7
1,111,14,-13,0
1,231,12,5,3
1,199,0,8,1
1,403,2.28739,2.04717,7
2,299,11,0,7
2,35,4.56373,-0.129438,7
2,39,16.8043,9.92141,3
2,55,12,9,3
2,423,17,-19,5
2,63,14,-3,7
2,135,12,9,3
2,51,12,5,3
2,295,16,3,3
2,87,12,8,3
2,343,11,19,3
2,175,14,11,3
2,291,12,8,3
2,283,16,10,3
2,243,12,9,3
2,231,12,5,3
2,239,12.2704,5.93099,3
2,203,12,6,3
2,187,11,3,7
2,123,-3,-14,5
2,95,13,5,3
2,247,8.90071,3.525,7
2,287,7,-3,7
2,79,12,8,3
2,211,8,-26,5
2,427,3,8,6
2,199,0,8,1
2,363,2,5,7
2,307,13,5,3
2,311,-27,-8,2
2,115,-3,-14,5
2,139,11.1014,-7.17582,7
2,315,28,1,0
2,223,16.1287,-12.5092,5
2,319,-3,17,6
