"tick","total_blue","total_orange","total_red","total_yellow","total_green","total_purple","total_magenta","total_white","run_id"
0.5,17,40,152,8,64,25,109,0,12
1.5,17,41,153,7,64,25,113,0,12
2.5,18,40,155,7,65,23,116,0,12
3.5,18,39,154,7,62,23,122,0,12
4.5,18,39,154,6,62,23,124,0,12
5.5,18,39,153,6,61,23,127,0,12
6.5,18,39,153,6,63,23,129,0,12
7.5,18,39,150,6,63,23,133,0,12
8.5,18,39,149,6,63,24,137,0,12
9.5,18,39,148,6,61,24,142,0,12
10.5,18,39,146,6,60,25,145,0,12
11.5,18,39,144,6,60,25,150,0,12
12.5,18,38,143,6,60,25,152,0,12
13.5,18,37,144,6,56,24,157,0,12
14.5,18,37,146,6,56,24,155,0,12
15.5,18,37,144,6,57,25,156,0,12
16.5,18,37,141,6,56,28,157,0,12
17.5,19,37,136,5,52,32,162,0,12
18.5,20,37,137,4,50,30,165,0,12
19.5,21,36,135,4,47,33,167,0,12
20.5,21,36,132,4,45,36,169,0,12
21.5,21,36,129,4,45,36,172,0,12
22.5,19,35,125,4,44,41,175,0,12
23.5,19,35,124,4,44,41,176,0,12
24.5,19,34,120,4,43,44,179,0,12
25.5,19,34,119,4,42,43,182,0,12
26.5,19,32,116,4,42,46,184,0,12
27.5,17,33,113,4,42,51,183,0,12
28.5,18,32,108,4,42,53,186,0,12
29.5,18,31,106,4,42,52,190,0,12
30.5,18,30,107,4,41,51,192,0,12
31.5,17,30,106,4,41,53,192,0,12
32.5,16,30,105,4,40,55,193,0,12
33.5,16,30,101,4,40,56,196,0,12
34.5,14,30,102,4,40,59,194,0,12
35.5,13,30,101,4,38,59,198,0,12
36.5,13,30,101,4,37,58,200,0,12
37.5,13,30,100,4,37,59,200,0,12
38.5,12,30,100,4,37,59,201,0,12
39.5,12,29,99,4,37,60,202,0,12
40.5,11,29,99,4,37,61,202,0,12
41.5,11,29,99,4,37,60,203,0,12
42.5,11,29,98,4,37,60,204,0,12
43.5,11,29,98,4,37,61,203,0,12
44.5,11,29,98,4,37,61,203,0,12
45.5,11,29,98,4,37,61,203,0,12
46.5,11,29,98,4,37,61,203,0,12
47.5,11,29,97,4,37,62,203,0,12
48.5,11,29,97,4,37,61,204,0,12
49.5,11,29,97,4,37,61,204,0,12
50.5,11,29,97,4,37,62,203,0,12
51.5,11,29,97,4,37,62,203,0,12
52.5,11,29,97,4,37,61,204,0,12
53.5,11,29,96,4,37,61,205,0,12
54.5,11,29,96,4,37,61,205,0,12
55.5,11,29,96,4,37,62,204,0,12
56.5,11,29,96,4,37,62,204,0,12
57.5,11,29,95,4,37,63,204,0,12
58.5,11,29,95,4,37,63,204,0,12
59.5,11,29,95,4,37,63,204,0,12
60.5,11,29,95,4,37,62,205,0,12
61.5,11,29,95,4,37,62,205,0,12
62.5,11,29,95,4,37,62,205,0,12
63.5,11,29,95,4,37,62,205,0,12
64.5,11,29,94,4,37,62,206,0,12
65.5,11,29,94,4,37,62,206,0,12
66.5,11,29,94,4,37,62,206,0,12
67.5,11,29,94,4,37,62,206,0,12
68.5,11,29,94,4,37,62,206,0,12
69.5,11,29,94,4,37,62,206,0,12
70.5,11,29,94,4,37,61,207,0,12
71.5,11,29,93,4,37,62,207,0,12
72.5,11,29,93,4,37,61,208,0,12
73.5,11,29,93,4,37,62,207,0,12
74.5,11,29,93,4,37,62,207,0,12
75.5,11,29,93,4,37,62,207,0,12
76.5,11,29,93,4,37,62,207,0,12
77.5,11,29,93,4,37,62,207,0,12
78.5,11,29,93,4,37,62,207,0,12
79.5,11,29,93,4,37,61,208,0,12
80.5,11,29,93,4,37,62,207,0,12
81.5,11,29,93,4,36,60,210,0,12
82.5,11,29,93,4,36,60,210,0,12
83.5,11,29,93,4,36,60,210,0,12
84.5,11,29,93,4,36,60,210,0,12
85.5,11,29,93,4,36,60,210,0,12
86.5,12,29,93,4,36,59,210,0,12
87.5,12,29,93,4,36,58,211,0,12
88.5,11,29,93,4,36,58,212,0,12
89.5,12,29,93,4,36,55,214,0,12
90.5,12,29,93,4,36,55,214,0,12
91.5,11,29,93,4,36,55,215,0,12
92.5,11,29,93,4,36,55,215,0,12
93.5,11,29,93,4,36,54,216,0,12
94.5,11,29,93,4,36,54,216,0,12
95.5,11,29,93,4,36,54,216,0,12
96.5,11,29,93,4,36,54,216,0,12
97.5,11,29,93,4,36,54,216,0,12
98.5,11,29,93,4,36,53,217,0,12
99.5,11,29,93,4,36,53,217,0,12
100,11,29,93,4,36,51,219,0,12
