"tick","total_blue","total_orange","total_red","total_yellow","total_green","total_purple","total_magenta","total_white","run_id"
0.5,17,41,153,8,64,23,111,1,19
1.5,17,41,153,8,64,23,111,1,19
2.5,17,41,153,8,64,23,111,1,19
3.5,17,41,153,8,64,23,111,1,19
4.5,17,41,153,8,64,23,111,1,19
5.5,17,41,153,8,64,23,111,1,19
6.5,17,41,153,8,64,23,111,1,19
7.5,17,41,153,8,64,23,111,1,19
8.5,17,41,153,8,64,23,111,1,19
9.5,17,41,153,8,64,23,111,1,19
10.5,17,41,153,8,64,23,111,1,19
11.5,17,41,153,8,64,23,111,1,19
12.5,17,41,153,8,64,23,111,1,19
13.5,17,41,153,8,64,23,111,1,19
14.5,17,41,153,8,64,23,111,1,19
15.5,17,41,153,8,64,23,111,1,19
16.5,17,41,153,8,64,23,111,1,19
17.5,17,41,153,8,64,23,111,1,19
18.5,17,41,153,8,64,23,111,1,19
19.5,17,41,153,8,64,23,111,1,19
20.5,17,41,153,8,64,23,111,1,19
21.5,17,41,153,8,64,23,111,1,19
22.5,17,41,153,8,64,23,111,1,19
23.5,17,41,153,8,64,23,111,1,19
24.5,17,41,153,8,64,23,111,1,19
25.5,17,41,153,8,64,23,111,1,19
26.5,17,41,153,8,64,23,111,1,19
27.5,17,41,153,8,64,23,111,1,19
28.5,17,41,153,8,64,23,111,1,19
29.5,17,41,153,8,64,23,111,1,19
30.5,17,41,153,8,64,23,111,1,19
31.5,17,41,153,8,64,23,111,1,19
32.5,17,41,153,8,64,23,111,1,19
33.5,17,41,153,8,64,23,111,1,19
34.5,17,41,153,8,64,23,111,1,19
35.5,17,41,153,8,64,23,111,1,19
36.5,17,41,153,8,64,23,111,1,19
37.5,17,41,153,8,64,23,111,1,19
38.5,17,41,153,8,64,23,111,1,19
39.5,17,41,153,8,64,23,111,1,19
40.5,17,41,153,8,64,23,111,1,19
41.5,17,41,153,8,64,23,111,1,19
42.5,17,41,153,8,64,23,111,1,19
43.5,17,41,153,8,64,23,111,1,19
44.5,17,41,153,8,64,23,111,1,19
45.5,17,41,153,8,64,23,111,1,19
46.5,17,41,153,8,64,23,111,1,19
47.5,17,41,153,8,64,23,111,1,19
48.5,17,41,153,8,64,23,111,1,19
49.5,17,41,153,8,64,23,111,1,19
50.5,17,41,153,8,64,23,111,1,19
51.5,17,41,153,8,64,23,111,1,19
52.5,17,41,153,8,64,23,111,1,19
53.5,17,41,153,8,64,23,111,1,19
54.5,17,41,153,8,64,23,111,1,19
55.5,17,41,153,8,64,23,111,1,19
56.5,17,41,153,8,64,23,111,1,19
57.5,17,41,153,8,64,23,111,1,19
58.5,17,41,153,8,64,23,111,1,19
59.5,17,41,153,8,64,23,111,1,19
60.5,17,41,153,8,64,23,111,1,19
61.5,17,41,153,8,64,23,111,1,19
62.5,17,41,153,8,64,23,111,1,19
63.5,17,41,153,8,64,23,111,1,19
64.5,17,41,153,8,64,23,111,1,19
65.5,17,41,153,8,64,23,111,1,19
66.5,17,41,153,8,64,23,111,1,19
67.5,17,41,153,8,64,23,111,1,19
68.5,17,41,153,8,64,23,111,1,19
69.5,17,41,153,8,64,23,111,1,19
70.5,17,41,153,8,64,23,111,1,19
71.5,17,41,153,8,64,23,111,1,19
72.5,17,41,153,8,64,23,111,1,19
73.5,17,41,153,8,64,23,111,1,19
74.5,17,41,153,8,64,23,111,1,19
75.5,17,41,153,8,64,23,111,1,19
76.5,17,41,153,8,64,23,111,1,19
77.5,17,41,153,8,64,23,111,1,19
78.5,17,41,153,8,64,23,111,1,19
79.5,17,41,153,8,64,23,111,1,19
80.5,17,41,153,8,64,23,111,1,19
81.5,17,41,153,8,64,23,111,1,19
82.5,17,41,153,8,64,23,111,1,19
83.5,17,41,153,8,64,23,111,1,19
84.5,17,41,153,8,64,23,111,1,19
85.5,17,41,153,8,64,23,111,1,19
86.5,17,41,153,8,64,23,111,1,19
87.5,17,41,153,8,64,23,111,1,19
88.5,17,41,153,8,64,23,111,1,19
89.5,17,41,153,8,64,23,111,1,19
90.5,17,41,153,8,64,23,111,1,19
91.5,17,41,153,8,64,23,111,1,19
92.5,17,41,153,8,64,23,111,1,19
93.5,17,41,153,8,64,23,111,1,19
94.5,17,41,153,8,64,23,111,1,19
95.5,17,41,153,8,64,23,111,1,19
96.5,17,41,153,8,64,23,111,1,19
97.5,17,41,153,8,64,23,111,1,19
98.5,17,41,153,8,64,23,111,1,19
99.5,17,41,153,8,64,23,111,1,19
100,17,41,153,8,64,23,111,1,19
