"tick","total_blue","total_orange","total_red","total_yellow","total_green","total_purple","total_magenta","total_white","run_id"
0.5,18,37,151,9,74,25,114,0,9
1.5,18,38,151,9,75,25,119,0,9
2.5,18,36,153,9,76,24,120,0,9
3.5,18,36,154,9,77,23,122,0,9
4.5,18,35,153,9,79,23,124,0,9
5.5,18,35,154,9,79,23,123,1,9
6.5,17,35,154,9,79,24,124,1,9
7.5,17,35,152,9,78,24,127,1,9
8.5,17,35,148,9,76,26,132,1,9
9.5,17,35,148,9,76,26,132,1,9
10.5,17,35,145,9,75,27,135,1,9
11.5,17,35,144,9,73,27,138,1,9
12.5,17,36,142,9,73,27,141,1,9
13.5,17,35,143,9,71,27,143,1,9
14.5,17,35,143,9,71,27,144,1,9
15.5,17,35,139,9,68,27,151,1,9
16.5,17,35,138,9,67,26,154,1,9
17.5,17,35,135,9,65,29,156,1,9
18.5,17,35,134,8,63,28,161,1,9
19.5,17,35,129,8,62,31,164,1,9
20.5,17,35,130,8,62,29,165,1,9
21.5,17,35,128,8,60,31,167,1,9
22.5,18,35,125,7,60,34,167,1,9
23.5,18,35,122,7,58,33,173,1,9
24.5,18,35,121,7,57,33,175,1,9
25.5,17,35,120,7,56,32,179,1,9
26.5,18,34,118,6,56,35,179,1,9
27.5,17,32,115,6,56,37,183,1,9
28.5,17,32,112,6,56,40,183,1,9
29.5,16,31,112,6,56,39,187,0,9
30.5,16,29,111,6,55,40,190,0,9
31.5,15,29,112,6,55,38,192,0,9
32.5,14,29,112,6,54,38,194,0,9
33.5,13,29,108,6,54,43,194,0,9
34.5,11,29,106,6,54,42,199,0,9
35.5,11,29,104,6,53,40,204,0,9
36.5,11,29,104,6,52,38,207,0,9
37.5,11,29,104,6,51,37,209,0,9
38.5,11,29,104,6,51,35,211,0,9
39.5,11,29,104,6,51,34,212,0,9
40.5,11,29,103,6,50,34,214,0,9
41.5,10,29,103,6,52,34,213,0,9
42.5,10,29,102,6,50,35,215,0,9
43.5,10,29,102,6,50,33,217,0,9
44.5,10,29,101,6,50,34,217,0,9
45.5,8,29,100,6,50,37,217,0,9
46.5,8,29,99,6,50,38,217,0,9
47.5,8,29,98,6,50,38,218,0,9
48.5,8,29,98,6,50,38,218,0,9
49.5,8,29,95,6,50,41,218,0,9
50.5,8,29,95,6,50,41,218,0,9
51.5,8,29,95,6,50,41,218,0,9
52.5,8,29,95,6,50,40,219,0,9
53.5,8,29,95,6,49,39,221,0,9
54.5,8,29,94,6,49,40,221,0,9
55.5,8,29,93,6,49,41,221,0,9
56.5,8,29,93,6,49,39,223,0,9
57.5,8,29,93,6,49,39,223,0,9
58.5,8,29,93,6,49,39,223,0,9
59.5,8,29,92,6,50,38,224,0,9
60.5,8,29,92,6,49,36,227,0,9
61.5,8,29,92,6,49,36,227,0,9
62.5,8,29,92,6,49,35,228,0,9
63.5,8,29,90,6,49,36,229,0,9
64.5,8,29,90,6,49,34,231,0,9
65.5,8,29,89,6,49,34,232,0,9
66.5,8,29,89,6,49,33,233,0,9
67.5,8,29,88,6,49,33,234,0,9
68.5,8,29,88,6,49,32,235,0,9
69.5,8,29,88,6,49,30,237,0,9
70.5,8,29,88,6,49,29,238,0,9
71.5,8,29,88,6,49,29,238,0,9
72.5,8,29,88,6,49,29,238,0,9
73.5,8,29,88,6,49,29,238,0,9
74.5,8,29,88,6,49,29,238,0,9
75.5,8,29,88,6,49,29,238,0,9
76.5,8,29,88,6,49,29,238,0,9
77.5,8,29,88,6,49,29,238,0,9
78.5,8,29,88,6,49,28,239,0,9
79.5,8,29,88,6,49,28,239,0,9
80.5,8,29,88,6,49,28,239,0,9
81.5,8,29,88,6,49,28,239,0,9
82.5,8,29,88,6,49,26,241,0,9
83.5,8,29,88,6,49,26,241,0,9
84.5,8,29,88,6,49,26,241,0,9
85.5,8,29,88,6,49,26,241,0,9
86.5,8,29,88,6,49,26,241,0,9
87.5,8,29,87,6,49,26,242,0,9
88.5,8,29,87,6,49,26,242,0,9
89.5,8,29,87,6,49,25,243,0,9
90.5,8,29,87,6,49,24,244,0,9
91.5,8,29,87,6,49,23,245,0,9
92.5,8,29,87,6,49,22,246,0,9
93.5,8,29,87,6,49,22,246,0,9
94.5,8,29,87,6,49,22,246,0,9
95.5,8,29,87,6,49,22,246,0,9
96.5,8,29,87,6,49,22,246,0,9
97.5,8,29,87,6,49,22,246,0,9
98.5,8,29,87,6,49,21,247,0,9
99.5,8,29,87,6,49,21,247,0,9
100,8,29,87,6,49,21,247,0,9
