tick,agent_id,x,y,color
0,232,12,11,3
0,80,12,8,3
0,64,16,1,3
0,276,10,6,3
0,56,9,7,3
0,16,12,8,3
0,380,-1,0,7
0,372,8,-4,7
0,104,10,10,3
0,208,-7,6,1
0,348,8,-6,7
0,360,7,-13,5
0,404,13,-11,7
0,288,12,8,3
0,344,16,0,0
0,164,7,5,7
0,148,-7,16,1
0,308,5,-7,7
0,180,0,8,1
0,156,11,7,3
0,296,13,11,3
0,416,-2,-3,7
0,268,8,0,7
0,356,7,-4,7
0,384,3,14,6
0,328,8,15,3
0,172,-13,-19,5
0,32,14,-13,0
0,264,-8,5,1
0,440,-20,-8,2
0,336,-1,-8,7
0,4,15,-11,0
0,320,11,-4,7
0,132,12,6,3
0,176,2,25,6
0,272,8,7,3
0,72,12,9,3
0,240,16,-12,0
0,76,2,-8,7
0,20,13,5,3
0,40,16,3,3
0,312,17,-15,5
0,284,6,-17,5
0,60,12,7,3
0,184,-3,-14,5
0,400,-18,17,4
0,420,4,7,7
0,280,11,20,3
0,28,-2,17,6
0,84,13,9,3
0,36,-3,17,6
0,376,16,-12,0
0,436,17,-13,5
0,112,23,36,0
0,44,12,8,3
0,0,12,6,3
0,432,-11,2,2
0,228,0,14,6
0,252,-46,4,0
0,204,8,-4,7
0,212,8,0,7
0,408,11,19,3
0,68,13,9,3
0,248,12,8,3
0,108,13,10,3
0,96,12,11,3
0,364,-4,-17,5
0,396,12,4,3
0,200,5,0,7
0,368,3,5,7
0,24,5,-2,7
0,340,-7,17,1
0,128,-18,10,4
0,292,12,8,3
0,260,15,-11,0
0,152,11,-3,7
0,116,7,0,7
0,256,1,10,6
0,244,10,9,3
0,140,10,4,7
0,412,13,-4,7
0,124,12,9,3
0,216,15,-11,0
0,428,11,-11,7
0,392,-5,-17,5
0,388,29,1,3
0,88,8,7,3
0,220,12,9,3
0,120,17,-13,5
0,224,-4,-5,7
0,236,12,8,3
0,100,-14,2,2
0,352,-23,5,4
0,12,17,-13,5
0,196,14,4,3
0,136,-3,17,6
0,188,-6,1,2
0,160,-4,-14,5
0,92,-4,-14,5
0,300,12,6,3
0,144,12,9,3
0,8,-27,-8,2
0,48,13,11,3
0,444,-18,18,4
0,168,-18,0,2
0,52,12,9,3
0,424,-9,-9,2
0,324,9,-1,7
0,304,12,5,3
0,332,-23,-8,2
0,316,-5,-17,5
0,192,11,2,7
1,164,7,5,7
1,108,13,10,3
1,68,13,9,3
1,232,12,11,3
1,188,-6,1,2
1,192,11,2,7
1,216,15,-11,0
1,112,23,36,0
1,156,11,7,3
1,360,7,-13,5
1,208,-7,6,1
1,0,11.2246,7.22338,3
1,404,13,-11,7
1,436,15.881,-12.5881,5
1,264,-8,5,1
1,12,17,-13,5
1,324,8.99536,-0.926058,7
1,136,-3,17,6
1,100,-14,2,2
1,392,-3.93113,-17.0535,5
1,84,13,9,3
1,92,-4,-14,5
1,16,12,8,3
1,212,8,0,7
1,4,14.0623,-9.39943,7
1,372,8,-4,7
1,180,0,8,1
1,144,11.8686,9.02994,3
1,28,-2,17,6
1,104,10,10,3
1,292,12,8,3
1,320,11,-4,7
1,364,-3.02203,-17.1125,5
1,44,12,8,3
1,132,12,6,3
1,176,2,25,6
1,444,-18,18,4
1,428,11,-11,7
1,328,8.86073,14.3767,3
1,408,11,19,3
1,52,12,9,3
1,416,-2,-3,7
1,36,-1.17404,16.7346,6
1,280,11,20,3
1,72,12.1204,8.99272,3
1,244,10.3467,8.93781,3
1,284,5.02229,-16.8199,5
1,120,17,-13,5
1,56,9,7,3
1,260,15,-11,0
1,228,-0.135422,14.1043,6
1,424,-9,-9,2
1,248,12,8,3
1,48,13,11,3
1,160,-4,-14,5
1,308,5,-7,7
1,128,-18,10,4
1,336,-1,-8,7
1,420,4,7,7
1,80,12.1729,9.99046,3
1,196,14,4,3
1,272,8,7,3
1,32,14,-13,0
1,296,13,11,3
1,312,17,-15,5
1,388,28.2708,1.6843,3
1,240,16,-12,0
1,204,8,-4,7
1,344,16,0,0
1,200,4.73621,0.21208,7
1,356,7,-4,7
1,252,-46,4,0
1,20,12.2228,6.51403,3
1,140,10,4,7
1,384,3,14,6
1,340,-6.50298,15.216,1
1,168,-16.1952,-0.72763,2
1,288,12,8,3
1,440,-20,-8,2
1,376,16,-12,0
1,380,0.726662,0.139569,7
1,348,8,-6,7
1,224,-4,-5,7
1,256,1,10,6
1,64,15.1508,2.71264,3
1,304,12,5,3
1,184,-3,-14,5
1,148,-7,16,1
1,40,16,3,3
1,8,-27,-8,2
1,60,12,7,3
1,152,11,-3,7
1,400,-18,17,4
1,76,2,-8,7
1,268,8,0,7
1,368,3.74941,4.55812,7
1,220,12,9,3
1,300,12,6,3
1,352,-23,5,4
1,172,-11.5136,-18.5648,5
1,96,12.2293,10.9927,3
1,432,-10.705,1.17433,2
1,332,-23,-8,2
1,236,12,8,3
1,24,4.38691,-2.26421,7
1,396,12.1006,5.99613,3
1,316,-3.93113,-17.0535,5
1,412,13,-4,7
1,88,7.18711,6.9762,6
1,124,12,9,3
1,116,6.58105,0.452793,7
1,276,10,6,3
2,204,7.87637,-4.15044,7
2,136,-3,17,6
2,236,12,8,3
2,372,8,-4,7
2,392,-2.84431,-17.2779,5
2,144,12.0901,9.02672,3
2,156,11,7,3
2,4,13.1292,-7.83901,7
2,304,12,5,3
2,88,8.64127,8.07093,3
2,428,11,-11,7
2,0,11.2439,8.29301,3
2,128,-18,10,4
2,124,12,9,3
2,68,13,9,3
2,56,9,7,3
2,292,12,8,3
2,384,3,14,6
2,408,11,19,3
2,252,-46,4,0
2,84,13,9,3
2,300,12,6,3
2,432,-10.699,0.168775,2
2,152,11,-3,7
2,76,2,-8,7
2,336,-1,-8,7
2,324,7.03287,-0.752749,7
2,444,-18,18,4
2,256,2.00871,10.911,6
2,224,-2.15094,-4.44909,7
2,72,12.3857,9.00588,3
2,40,16,3,3
2,184,-3,-14,5
2,280,11,20,3
2,208,-7,6,1
2,348,8,-6,7
2,416,-2,-3,7
2,328,9.9795,13.986,3
2,436,15.881,-12.5881,5
2,332,-23,-8,2
2,148,-7,16,1
2,52,12,9,3
2,64,14.9325,2.7047,3
2,28,-2,17,6
2,260,15,-11,0
2,268,8,0,7
2,404,13,-11,7
2,288,12,8,3
2,104,10,10,3
2,228,0.694683,14.1391,6
2,44,12,8,3
2,92,-4,-14,5
2,340,-6.04965,13.7667,1
2,172,-9.90462,-18.3332,5
2,420,4,7,7
2,140,10,4,7
2,16,12,8,3
2,120,17,-13,5
2,112,23,36,0
2,212,8,0,7
2,364,-2.33354,-17.1463,5
2,284,3.8202,-16.8898,5
2,296,13,11,3
2,116,5.37761,0.703851,7
2,32,12.226,-13.8322,5
2,20,12.298,8.50991,3
2,424,-9,-9,2
2,216,15,-11,0
2,380,2.42242,-0.819151,7
2,264,-8,5,1
2,48,13,11,3
2,232,12,11,3
2,180,0,8,1
2,376,15.0348,-10.3952,7
2,240,15.0162,-10.3982,7
2,344,16,0,0
2,356,7,-4,7
2,320,11,-4,7
2,368,4.01955,2.69009,7
2,24,3.96644,-2.37747,7
2,272,8,7,3
2,192,11,2,7
2,440,-20,-8,2
2,220,12,9,3
2,200,3.39896,-0.747358,7
2,196,14,4,3
2,388,27.5416,2.3686,3
2,160,-4,-14,5
2,60,12,7,3
2,244,11.4955,9.53775,3
2,352,-23,5,4
2,316,-3.01256,-17.1265,5
2,8,-27,-8,2
2,168,-14.4125,-0.615896,2
2,36,0.916598,16.1638,6
2,400,-18,17,4
2,132,12,6,3
2,276,10,6,3
2,96,11.5812,12.1182,3
2,188,-6,1,2
2,100,-14,2,2
2,80,11.6125,9.11941,3
2,312,17,-15,5
2,108,13,10,3
2,12,17,-13,5
2,248,12,8,3
2,360,7,-13,5
2,308,5,-7,7
2,412,13,-4,7
2,164,7,5,7
2,176,2,25,6
2,396,11.8347,6.06448,3
3,404,12.1763,-9.32396,7
3,372,8,-4,7
3,36,2.13516,15.6091,6
3,316,-2.46907,-18.2048,5
3,164,7,5,7
3,204,6.37126,-4.07019,7
3,84,13,9,3
3,408,11,19,3
3,224,-1.08844,-3.04859,7
3,276,10,6,3
3,240,13.2715,-9.56651,7
3,80,10.6209,9.5065,3
3,216,15,-11,0
3,76,2,-8,7
3,48,13,11,3
3,424,-9,-9,2
3,16,12,8,3
3,312,17,-15,5
3,300,12,6,3
3,228,1.6141,14.4847,6
3,252,-46,4,0
3,332,-23,-8,2
3,344,16,0,0
3,284,3.5988,-16.7871,5
3,192,11,2,7
3,60,12,7,3
3,260,15,-11,0
3,104,10,10,3
3,120,17,-13,5
3,416,-2,-3,7
3,196,14,4,3
3,180,0,8,1
3,208,-7,6,1
3,368,3.78651,0.727795,7
3,136,-3,17,6
3,132,12,6,3
3,88,9.28826,8.00652,3
3,440,-20,-8,2
3,152,11,-3,7
3,356,7,-4,7
3,40,16,3,3
3,32,11.2964,-13.4857,5
3,24,3.28255,-1.07213,7
3,148,-7,16,1
3,96,11.4734,13.7169,3
3,112,23,36,0
3,172,-8.42493,-18.1052,5
3,28,-2,17,6
3,184,-3,-14,5
3,420,4,7,7
3,436,15.881,-12.5881,5
3,292,12,8,3
3,124,12,9,3
3,364,-1.69745,-17.2218,5
3,176,2,25,6
3,188,-6,1,2
3,400,-18,17,4
3,348,8,-6,7
3,144,11.3726,9.72888,3
3,0,9.95217,8.78906,3
3,328,10.7755,13.7176,3
3,232,12,11,3
3,212,8,0,7
3,264,-8,5,1
3,340,-5.80729,12.8232,1
3,4,11.4699,-6.72269,7
3,324,6.60755,-0.172288,7
3,268,8,0,7
3,68,13,9,3
3,432,-11.6064,-0.982913,2
3,388,25.9995,3.6336,3
3,116,4.24763,0.610887,7
3,380,3.28255,-1.07213,7
3,308,5,-7,7
3,168,-13.0313,-1.20638,2
3,396,11.2088,6.45759,3
3,140,10,4,7
3,428,11,-11,7
3,376,13.731,-8.93074,7
3,72,11.9404,9.19067,3
3,244,11.1194,9.74474,3
3,412,13,-4,7
3,200,3.28255,-1.07213,7
3,296,13,11,3
3,236,12,8,3
3,92,-4,-14,5
3,288,12,8,3
3,320,11,-4,7
3,20,12.3675,8.50673,3
3,64,13.8654,3.60933,3
3,108,13,10,3
3,220,12,9,3
3,336,-1,-8,7
3,392,-1.92709,-17.4983,5
3,100,-14,2,2
3,156,11,7,3
3,272,8,7,3
3,56,9,7,3
3,280,11,20,3
3,444,-18,18,4
3,384,3,14,6
3,52,12,9,3
3,248,12,8,3
3,304,12,5,3
3,160,-4,-14,5
3,352,-23,5,4
3,12,17,-13,5
3,44,12,8,3
3,128,-18,10,4
3,360,7,-13,5
3,256,1.87224,10.925,6
3,8,-27,-8,2
4,12,15.9786,-12.5631,5
4,16,12,8,3
4,432,-13.0313,-1.20638,2
4,160,-4,-14,5
4,244,11.1728,9.73105,3
4,260,15,-11,0
4,0,10.5375,8.7735,3
4,232,12,11,3
4,164,5.98186,3.27906,7
4,296,13,11,3
4,252,-45.1115,3.54118,4
4,148,-7,16,1
4,136,-3,17,6
4,356,7,-4,7
4,416,-2,-3,7
4,188,-4.24942,1.30334,7
4,336,-1,-8,7
4,44,12,8,3
4,152,11,-3,7
