0,001,1,12.0,6.0
1,004,2,10.0,4.0
2,006,6,16.0,-14.0
3,007,15,12.0,7.0
4,009,0,15.0,-11.0
5,013,8,3.0,-17.0
6,015,1,12.0,8.0
7,021,9,12.0,9.0
8,022,7,-27.0,-8.0
9,026,15,12.0,9.0
10,031,3,1.0,-42.0
11,035,13,10.0,3.0
12,036,4,17.0,-13.0
13,038,15,11.0,6.0
14,039,0,-5.0,-21.0
15,041,15,12.0,9.0
16,042,9,12.0,8.0
17,044,1,-13.0,11.0
18,045,24,12.0,12.0
19,046,1,2.0,6.0
20,047,0,13.0,5.0
21,048,16,12.0,8.0
22,049,0,11.0,4.0
23,050,5,12.0,9.0
24,053,0,5.0,-2.0
25,054,0,11.0,4.0
26,058,0,-18.0,1.0
27,059,9,13.0,10.0
28,060,5,-2.0,17.0
29,064,4,-28.0,-1.0
30,067,0,16.0,-1.0
31,071,9,10.0,4.0
32,072,0,14.0,-13.0
33,073,0,-49.0,-1.0
34,075,1,4.0,-1.0
35,080,1,5.0,2.0
36,084,0,-3.0,17.0
37,086,2,12.0,5.0
38,089,6,11.0,6.0
39,091,0,19.0,10.0
40,092,5,16.0,3.0
41,093,4,14.0,-13.0
42,094,13,12.0,8.0
43,099,8,12.0,8.0
44,100,25,12.0,8.0
45,101,7,-27.0,-8.0
46,102,1,12.0,7.0
47,103,5,12.0,7.0
48,107,6,13.0,11.0
49,110,2,12.0,8.0
50,112,6,13.0,7.0
51,113,12,12.0,5.0
52,114,5,12.0,9.0
53,115,5,-7.0,10.0
54,117,2,11.0,6.0
55,122,7,12.0,9.0
56,125,9,9.0,7.0
57,126,2,13.0,-12.0
58,127,4,-10.0,3.0
59,131,5,13.0,9.0
60,133,6,12.0,7.0
61,138,11,-4.0,2.0
62,140,1,10.0,5.0
63,142,3,14.0,-3.0
64,143,0,16.0,1.0
65,144,9,13.0,0.0
66,146,1,-1.0,7.0
67,147,0,1.0,-5.0
68,148,8,13.0,9.0
69,150,0,13.0,8.0
70,151,6,8.0,5.0
71,152,7,10.0,-10.0
72,154,1,12.0,9.0
73,155,4,12.0,9.0
74,157,3,10.0,1.0
75,162,0,16.0,2.0
76,166,7,2.0,-8.0
77,168,5,15.0,6.0
78,169,9,-15.0,10.0
79,170,11,12.0,8.0
80,171,0,12.0,8.0
81,173,0,7.0,21.0
82,174,2,13.0,8.0
83,177,5,13.0,2.0
84,178,4,13.0,9.0
85,182,9,9.0,5.0
86,185,11,14.0,3.0
87,188,12,12.0,8.0
88,191,1,8.0,7.0
89,192,12,11.0,9.0
90,194,1,11.0,10.0
91,195,4,0.0,-7.0
92,202,10,-4.0,-14.0
93,203,7,13.0,-13.0
94,205,24,14.0,10.0
95,206,23,13.0,5.0
