002,Ex001,0
002,043,8
002,134,9
002,I022,4
002,L026,6
002,L029,9
002,L053,2
002,T001,0
004,Ex002,0
004,011,0
004,101,21
004,139,12
004,219,0
004,Ex014,0
004,Ex060,0
004,L226,0
004,I022,0
004,I001,0
005,A037,22
005,L044,12
005,L094,0
005,L094,0
005,L026,6
006,221,6
006,L168,21
006,L153,2
006,L089,6
007,151,9
007,084,6
008,114,7
008,A066,17
008,L063,7
008,L218,13
009,A060,0
009,A147,12
009,L031,0
009,L093,0
001,011,0
001,045,15
001,L028,2
001,L026,0
001,L053,18
010,L154,0
010,L154,0
010,I013,1
010,L155,2
010,I021,8
010,L081,10
011,178,11
011,Ex002,0
011,L026,0
011,L042,9
011,L042,9
011,I002,0
011,I022,0
012,151,9
012,A135,0
012,Ex019,4
012,218,8
012,I022,8
012,I001,9
012,I013,4
013,011,7
013,L026,7
013,L258,12
014,063,0
014,A002,11
014,083,0
014,083,0
014,122,14
014,A055,13
014,150,14
014,I008,4
014,L032,0
014,L032,0
014,L032,0
015,129,10
015,A129,15
015,209,20
015,I010,7
015,I007,0
015,L136,10
016,200,10
016,200,8
016,L063,8
016,L271,14
017,200,7
017,L063,7
019,046,7
019,046,10
019,134,8
019,I001,7
019,I001,23
019,L156,10
020,I002,7
020,I002,16
020,I002,12
020,I002,0
021,044,9
021,044,6
021,I018,14
021,I018,6
021,L216,9
022,218,6
022,218,7
022,115,12
022,043,17
022,043,23
022,A056,17
022,134,22
022,I001,8
022,I001,6
022,I004,10
022,L034,11
022,I021,20
022,L112,18
023,114,0
023,114,10
023,OUT006,19
023,043,23
023,I022,1
023,L063,10
023,I003,2
023,L106,8
023,L033,0
024,I009,0
024,L035,6
024,L036,13
024,L202,17
024,L032,18
026,041,6
026,041,9
026,114,7
026,011,15
026,103,15
026,A049,18
026,L038,10
026,L038,7
027,219,3
027,L039,10
027,L040,17
027,L040,20
027,I001,3
027,I009,24
027,L184,7
028,A061,21
028,OUT508,16
028,L041,11
028,L042,16
028,L034,11
028,T001,23
028,L075,9
028,L167,0
029,L033,10
029,L217,5
029,L108,15
030,009,6
031,114,7
031,L043,9
031,L043,0
032,222,11
032,EX003,0
032,L044,2
032,L044,0
032,L044,11
032,L032,0
033,114,3
033,114,3
033,L030,3
034,EX003,0
034,EX003,0
